# Cohesive energy (eV) vs. nearest neighbor radial distance (Angstrom).
# potential = 1985--Foiles-S-M--Ni-Cu
# composition = Cu

# NOTE: These values are for static, unrelaxed structures and use the ideal
# b/a and c/a ratios for the crystal structure, not the potential-specific
# values.

# Calculations from the NIST Interatomic Potential Repository Project:
# http://www.ctcms.nist.gov/potentials/

# Table generated 2017-10-01

   r                A1--Cu--fcc      A15--beta-W      A2--W--bcc       A3'--alpha-La    A3--Mg--hcp      A4--C--dc        A5--beta-Sn      A6--In--bct      A7--alpha-As     Ah--alpha-Po--sc
    2.0000000000     1.0945704487    -2.3167793479    -0.0624904640     1.0965108639     1.0982030781    -1.5271325116    -1.5594758128     0.2380260789    -2.2032040707    -1.1685610640
    2.0201005025     0.6325244241    -2.4964181731    -0.4321779072     0.6341710987     0.6357719717    -1.6735760104    -1.7849912811    -0.1532672369    -2.3201877245    -1.4129148161
    2.0402010050     0.2129544735    -2.6562547923    -0.7723490036     0.2144708929     0.2159873122    -1.8041197106    -1.9887506561    -0.5139475422    -2.4219797826    -1.6362242161
    2.0603015075    -0.1696611691    -2.7976288441    -1.0847616688    -0.1682380432    -0.1668149174    -1.9199275890    -2.1721319046    -0.8459538044    -2.5096809802    -1.8387279256
    2.0804020100    -0.5229079382    -2.9218062319    -1.3710803968    -0.5216037657    -0.5202995933    -2.0220929077    -2.3364476461    -1.1509735194    -2.5847401479    -2.0213002175
    2.1005025126    -0.8485652622    -3.0299822351    -1.6328809717    -0.8479196327    -0.8472740031    -2.1116410680    -2.4829460535    -1.4306732526    -2.6479275541    -2.1852312992
    2.1206030151    -1.1482288953    -3.1235553920    -1.8716549563    -1.1481495580    -1.1480702206    -2.1895324273    -2.6128121264    -1.6871625999    -2.7002865423    -2.3317471036
    2.1407035176    -1.4234128053    -3.2035556546    -2.0888591059    -1.4238214616    -1.4242301180    -2.2567190818    -2.7271692962    -1.9211200940    -2.7430944664    -2.4620106093
    2.1608040201    -1.6755530987    -3.2707244447    -2.2852649303    -1.6763834386    -1.6772137785    -2.3144400309    -2.8273296792    -2.1339224374    -2.7766296358    -2.5771234858
    2.1809045226    -1.9060117649    -3.3270310207    -2.4616142549    -1.9072077559    -1.9084037469    -2.3631229610    -2.9144860825    -2.3258092624    -2.8017362141    -2.6781279749
    2.2010050251    -2.1160802483    -3.3722295554    -2.6203234226    -2.1175946508    -2.1191090532    -2.4033583739    -2.9890927831    -2.4982242119    -2.8190963365    -2.7660089393
    2.2211055276    -2.3069828515    -3.4066651236    -2.7624948008    -2.3085990208    -2.3102151902    -2.4358308901    -3.0520521765    -2.6543114467    -2.8293462844    -2.8425037635
    2.2412060301    -2.4798799916    -3.4316658976    -2.8891732569    -2.4812540089    -2.4826280262    -2.4611776440    -3.1035142842    -2.7945512290    -2.8334480957    -2.9082014734
    2.2613065327    -2.6358712920    -3.4479993089    -3.0013487139    -2.6370317946    -2.6381922972    -2.4799911490    -3.1451342776    -2.9195087521    -2.8319532221    -2.9630087559
    2.2814070352    -2.7759985406    -3.4563630217    -3.0999586078    -2.7769702735    -2.7779420063    -2.4928220667    -3.1779437618    -3.0301638109    -2.8250624873    -3.0080320837
    2.3015075377    -2.9012485075    -3.4574108409    -3.1858902851    -2.9020528462    -2.9028571849    -2.5001818465    -3.2028708104    -3.1274430171    -2.8132836393    -3.0440117037
    2.3216080402    -3.0125556312    -3.4517552651    -3.2599833215    -3.0132110382    -3.0138664451    -2.5025439474    -3.2199038204    -3.2122224496    -2.7970877638    -3.0716425672
    2.3417085427    -3.1108045806    -3.4399697978    -3.3230317475    -3.1113270012    -3.1118494218    -2.5003979674    -3.2297512392    -3.2853301824    -2.7769115946    -3.0915767309
    2.3618090452    -3.1968326972    -3.4225911521    -3.3757862062    -3.1972359034    -3.1976391096    -2.4920371048    -3.2331970653    -3.3475486914    -2.7532258587    -3.1044256098
    2.3819095477    -3.2714323235    -3.4001213225    -3.4189560314    -3.2717282114    -3.2720240993    -2.4794654337    -3.2312194882    -3.3996171501    -2.7247301395    -3.1107621446
    2.4020100502    -3.3353530211    -3.3730295716    -3.4532256610    -3.3355518679    -3.3357507147    -2.4636105966    -3.2238431032    -3.4422643314    -2.6922481079    -3.1111228787
    2.4221105528    -3.3893036878    -3.3417542941    -3.4783571463    -3.3894143734    -3.3895250590    -2.4447708034    -3.2112772319    -3.4767453336    -2.6573838991    -3.1060099520
    2.4422110553    -3.4339545716    -3.3067047985    -3.4956990705    -3.4339847699    -3.4340149682    -2.4232377082    -3.1939832491    -3.5022436894    -2.6204036741    -3.0958929973
    2.4623115578    -3.4699391959    -3.2682629801    -3.5059850086    -3.4698955383    -3.4698518806    -2.3992811530    -3.1723920071    -3.5199361436    -2.5815697155    -3.0812109629
    2.4824120603    -3.4978548194    -3.2270254132    -3.5099966873    -3.4976504865    -3.4974461535    -2.3731507114    -3.1469056395    -3.5307517177    -2.5411237584    -3.0626058179
    2.5025125628    -3.5182709876    -3.1834715711    -3.5083805251    -3.5177653943    -3.5172598009    -2.3450770215    -3.1178992348    -3.5352836249    -2.4992883350    -3.0406013285
    2.5226130653    -3.5317176100    -3.1374901155    -3.5011489328    -3.5309315882    -3.5301455663    -2.3152731594    -3.0857224340    -3.5337981021    -2.4562680770    -3.0151486041
    2.5427135678    -3.5387001128    -3.0894338867    -3.4887453526    -3.5376519305    -3.5366037481    -2.2839358755    -3.0507009398    -3.5267584146    -2.4122511715    -2.9865831467
    2.5628140703    -3.5396941666    -3.0379057643    -3.4715872420    -3.5383998623    -3.5371055581    -2.2512467424    -3.0131572258    -3.5146008204    -2.3676806327    -2.9552173920
    2.5829145729    -3.5351484791    -2.9835883206    -3.4504136317    -3.5337030391    -3.5322575991    -2.2176546080    -2.9736045059    -3.4977359718    -2.3225895311    -2.9214253420
    2.6030150754    -3.5254861618    -2.9280341792    -3.4265177627    -3.5241975840    -3.5229090062    -2.1840643107    -2.9298858476    -3.4765502480    -2.2769819682    -2.8835171868
    2.6231155779    -3.5111060333    -2.8714299738    -3.3994442790    -3.5100922317    -3.5090784300    -2.1499645091    -2.8841887185    -3.4514070275    -2.2310482836    -2.8428868074
    2.6432160804    -3.4923838607    -2.8141715166    -3.3689438413    -3.4916274342    -3.4908710076    -2.1150164769    -2.8370685669    -3.4226478933    -2.1848598318    -2.8006396661
    2.6633165829    -3.4696735400    -2.7571318812    -3.3353326831    -3.4691586510    -3.4686437621    -2.0793473747    -2.7887209574    -3.3905937804    -2.1384880112    -2.7569629809
    2.6834170854    -3.4433082176    -2.6999103615    -3.2989071508    -3.4430204278    -3.4427326380    -2.0430743106    -2.7393327124    -3.3555460654    -2.0920344944    -2.7120489563
    2.7035175879    -3.4136013677    -2.6422483256    -3.2599448300    -3.4135274953    -3.4134536230    -2.0063050671    -2.6890767001    -3.3177876103    -2.0455916435    -2.6660755681
    2.7236180905    -3.3808478053    -2.5842879656    -3.2187056053    -3.3809758007    -3.3811037961    -1.9691388222    -2.6381126061    -3.2775837438    -1.9992431994    -2.6192075056
    2.7437185930    -3.3453246552    -2.5263065120    -3.1754326558    -3.3456434920    -3.3459623288    -1.9316667916    -2.5865878444    -3.2353254275    -1.9530650713    -2.5715969104
    2.7638190955    -3.3072922791    -2.4687233146    -3.1303459096    -3.3077918588    -3.3082914386    -1.8939725778    -2.5346382555    -3.1915355413    -1.9073967176    -2.5233842375
    2.7839195980    -3.2669951517    -2.4113985177    -3.0830816404    -3.2676662201    -3.2683372886    -1.8561328982    -2.4823888401    -3.1461753486    -1.8622454573    -2.4746989900
    2.8040201005    -3.2246626948    -2.3542030031    -3.0325469516    -3.2254967683    -3.2263308419    -1.8182183972    -2.4299544837    -3.0989775233    -1.8174266873    -2.4256604036
    2.8241206030    -3.1805100723    -2.2972309458    -2.9808656220    -3.1814993728    -3.1824886732    -1.7802933582    -2.3774405965    -3.0484031629    -1.7729916284    -2.3763781097
    2.8442211055    -3.1347532285    -2.2405681816    -2.9282473007    -3.1358874616    -3.1370216947    -1.7424166701    -2.3249437251    -2.9977303732    -1.7289860112    -2.3269527862
    2.8643216080    -3.0875112010    -2.1843902456    -2.8748502575    -3.0887209458    -3.0899306905    -1.7046425690    -2.2725521347    -2.9465569781    -1.6854500358    -2.2778418165
    2.8844221106    -3.0390795135    -2.1288688546    -2.8208171272    -3.0401210809    -3.0411626482    -1.6670196114    -2.2203463585    -2.8945328584    -1.6424145241    -2.2295055764
    2.9045226131    -2.9895435111    -2.0738573162    -2.7662804883    -2.9904212195    -2.9912989279    -1.6295883273    -2.1683997137    -2.8418025771    -1.5999312025    -2.1812315079
    2.9246231156    -2.9390694088    -2.0194140024    -2.7113634652    -2.9397907320    -2.9405120551    -1.5924012650    -2.1167787826    -2.7885007423    -1.5580229654    -2.1330931677
    2.9447236181    -2.8878065436    -1.9655913196    -2.6561802745    -2.8883785352    -2.8889505268    -1.5555063814    -2.0655438691    -2.7347524770    -1.5166574371    -2.0851576332
    2.9648241206    -2.8358894986    -1.9124362490    -2.6008366693    -2.8363187852    -2.8367480717    -1.5188902480    -2.0147494533    -2.6806740100    -1.4758240410    -2.0374859242
