# Cohesive energy (eV) vs. nearest neighbor radial distance (Angstrom).
# potential = 1985--Foiles-S-M--Ni-Cu
# composition = Cu2Ni

# NOTE: These values are for static, unrelaxed structures and use the ideal
# b/a and c/a ratios for the crystal structure, not the potential-specific
# values.

# Calculations from the NIST Interatomic Potential Repository Project:
# http://www.ctcms.nist.gov/potentials/

# Table generated 2017-10-01

   r                C1--CaF2        
    2.0000000000    -1.0059216178
    2.0201005025    -1.2699900189
    2.0402010050    -1.5067415133
    2.0603015075    -1.7211134790
    2.0804020100    -1.9182588931
    2.1005025126    -2.0993819129
    2.1206030151    -2.2648761208
    2.1407035176    -2.4155567357
    2.1608040201    -2.5523855993
    2.1809045226    -2.6758603470
    2.2010050251    -2.7859656444
    2.2211055276    -2.8831647396
    2.2412060301    -2.9691157267
    2.2613065327    -3.0444075670
    2.2814070352    -3.1096125807
    2.3015075377    -3.1649362376
    2.3216080402    -3.2104613507
    2.3417085427    -3.2475847837
    2.3618090452    -3.2767994342
    2.3819095477    -3.2985900893
    2.4020100502    -3.3134249424
    2.4221105528    -3.3216359796
    2.4422110553    -3.3231484032
    2.4623115578    -3.3190718934
    2.4824120603    -3.3099674605
    2.5025125628    -3.2963147172
    2.5226130653    -3.2788680040
    2.5427135678    -3.2574365993
    2.5628140703    -3.2321701008
    2.5829145729    -3.2035861086
    2.6030150754    -3.1725026482
    2.6231155779    -3.1387357470
    2.6432160804    -3.1022325014
    2.6633165829    -3.0632595960
    2.6834170854    -3.0220688101
    2.7035175879    -2.9788975122
    2.7236180905    -2.9339691894
    2.7437185930    -2.8875311164
    2.7638190955    -2.8381424674
    2.7839195980    -2.7872932977
    2.8040201005    -2.7355522684
    2.8241206030    -2.6830673509
    2.8442211055    -2.6299823299
    2.8643216080    -2.5764312004
    2.8844221106    -2.5225386560
    2.9045226131    -2.4684204609
    2.9246231156    -2.4141842525
    2.9447236181    -2.3601602194
    2.9648241206    -2.3068612243
    2.9849246231    -2.2536685019
    3.0050251256    -2.2006680562
    3.0251256281    -2.1479504428
    3.0452261307    -2.0963291565
    3.0653266332    -2.0452925725
    3.0854271357    -1.9945319571
    3.1055276382    -1.9441785410
