# Cohesive energy (eV) vs. nearest neighbor radial distance (Angstrom).
# potential = 1985--Foiles-S-M--Ni-Cu
# composition = Cu3Ni

# NOTE: These values are for static, unrelaxed structures and use the ideal
# b/a and c/a ratios for the crystal structure, not the potential-specific
# values.

# Calculations from the NIST Interatomic Potential Repository Project:
# http://www.ctcms.nist.gov/potentials/

# Table generated 2017-10-01

   r                A15--Cr3Si       D0_3--BiF3       L1_2--AuCu3     
    2.0000000000    -2.5166423147    -0.3153680570     0.9354948905
    2.0201005025    -2.6864690109    -0.7053249322     0.4353712488
    2.0402010050    -2.8393717521    -1.0555049400    -0.0183887118
    2.0603015075    -2.9762455059    -1.3696391686    -0.4291227410
    2.0804020100    -3.0979475944    -1.6507457659    -0.8000981350
    2.1005025126    -3.2054946165    -1.9018137041    -1.1341520380
    2.1206030151    -3.2986801710    -2.1262355852    -1.4343804735
    2.1407035176    -3.3791751264    -2.3273530653    -1.7036759747
    2.1608040201    -3.4477419237    -2.5075131852    -1.9450777588
    2.1809045226    -3.5059602474    -2.6712537017    -2.1605327441
    2.2010050251    -3.5535071891    -2.8201339058    -2.3522329885
    2.2211055276    -3.5912395277    -2.9549001644    -2.5274313545
    2.2412060301    -3.6194548215    -3.0762629861    -2.6888942756
    2.2613065327    -3.6384013487    -3.1846612680    -2.8359852763
    2.2814070352    -3.6492052706    -3.2806890999    -2.9694260554
    2.3015075377    -3.6524418717    -3.3653399992    -3.0899024132
    2.3216080402    -3.6486077925    -3.4385994247    -3.1980686645
    2.3417085427    -3.6374554667    -3.5012231286    -3.2945511683
    2.3618090452    -3.6203954884    -3.5543171895    -3.3794746941
    2.3819095477    -3.5978917311    -3.5983982365    -3.4528047528
    2.4020100502    -3.5704199151    -3.6339855462    -3.5164256804
    2.4221105528    -3.5386709097    -3.6617307253    -3.5713098067
    2.4422110553    -3.5027362133    -3.6814158639    -3.6173902249
    2.4623115578    -3.4630088537    -3.6936356825    -3.6551578644
    2.4824120603    -3.4200175969    -3.6994714128    -3.6853396349
    2.5025125628    -3.3742092232    -3.6992065975    -3.7085405721
    2.5226130653    -3.3256296105    -3.6935909020    -3.7240476585
