# Cohesive energy (eV) vs. nearest neighbor radial distance (Angstrom).
# potential = 1985--Foiles-S-M--Ni-Cu
# composition = CuNi

# NOTE: These values are for static, unrelaxed structures and use the ideal
# b/a and c/a ratios for the crystal structure, not the potential-specific
# values.

# Calculations from the NIST Interatomic Potential Repository Project:
# http://www.ctcms.nist.gov/potentials/

# Table generated 2017-10-01

   r                B1--NaCl         B2--CsCl         B3--ZnS          L1_0--AuCu      
    2.0000000000    -1.4527492479    -0.5070038080    -1.4100060428     0.1942372250
    2.0201005025    -1.6971711394    -0.9209375099    -1.5749312551    -0.2810519218
    2.0402010050    -1.9156479266    -1.2938774164    -1.7254277382    -0.7115110191
    2.0603015075    -2.1097377143    -1.6290252939    -1.8603887779    -1.1005496151
    2.0804020100    -2.2812230479    -1.9294073149    -1.9824335635    -1.4518241218
    2.1005025126    -2.4320068269    -2.1982918920    -2.0918960431    -1.7685251778
    2.1206030151    -2.5638478777    -2.4376205219    -2.1900474939    -2.0526412513
    2.1407035176    -2.6796752342    -2.6490186468    -2.2775265108    -2.3067992616
    2.1608040201    -2.7851286095    -2.8354652701    -2.3550916751    -2.5338185175
    2.1809045226    -2.8801610185    -2.9991158531    -2.4231697626    -2.7354540935
    2.2010050251    -2.9648587160    -3.1417923292    -2.4822635442    -2.9127326034
    2.2211055276    -3.0404264390    -3.2652453860    -2.5329144729    -3.0682879855
    2.2412060301    -3.1077227291    -3.3710955296    -2.5756430781    -3.2043528988
    2.2613065327    -3.1659991349    -3.4608430896    -2.6109491028    -3.3221815641
    2.2814070352    -3.2153623533    -3.5374041448    -2.6393116772    -3.4233217387
    2.3015075377    -3.2552214036    -3.6047830313    -2.6611991190    -3.5110632387
    2.3216080402    -3.2862768225    -3.6634564533    -2.6764981338    -3.5891973069
    2.3417085427    -3.3103554609    -3.7138169495    -2.6861782432    -3.6581304423
    2.3618090452    -3.3278348721    -3.7562404294    -2.6906707123    -3.7180779180
    2.3819095477    -3.3390897593    -3.7910897106    -2.6903502581    -3.7694703039
    2.4020100502    -3.3445383070    -3.8187806429    -2.6855737393    -3.8128691745
    2.4221105528    -3.3450490469    -3.8399646807    -2.6766805051    -3.8491822087
    2.4422110553    -3.3403558450    -3.8537432104    -2.6639928006    -3.8778124690
