# Cohesive energy (eV) vs. nearest neighbor radial distance (Angstrom).
# potential = 1985--Foiles-S-M--Ni-Cu
# composition = CuNi2

# NOTE: These values are for static, unrelaxed structures and use the ideal
# b/a and c/a ratios for the crystal structure, not the potential-specific
# values.

# Calculations from the NIST Interatomic Potential Repository Project:
# http://www.ctcms.nist.gov/potentials/

# Table generated 2017-10-01

   r                C1--CaF2        
    2.0000000000    -1.5107550759
    2.0201005025    -1.7779418627
    2.0402010050    -2.0158958957
    2.0603015075    -2.2278815729
    2.0804020100    -2.4160025925
    2.1005025126    -2.5828319624
    2.1206030151    -2.7292983921
    2.1407035176    -2.8570728864
    2.1608040201    -2.9678021858
    2.1809045226    -3.0627834149
    2.2010050251    -3.1432663841
    2.2211055276    -3.2121304333
    2.2412060301    -3.2716348279
    2.2613065327    -3.3223136341
    2.2814070352    -3.3646710257
    2.3015075377    -3.3991853750
    2.3216080402    -3.4263122681
    2.3417085427    -3.4464869034
    2.3618090452    -3.4597559258
    2.3819095477    -3.4640244692
    2.4020100502    -3.4626068694
    2.4221105528    -3.4570051599
    2.4422110553    -3.4464903884
    2.4623115578    -3.4314045029
    2.4824120603    -3.4120603544
    2.5025125628    -3.3887594458
    2.5226130653    -3.3623972222
    2.5427135678    -3.3327710692
    2.5628140703    -3.2999914605
    2.5829145729    -3.2644397574
    2.6030150754    -3.2266625670
    2.6231155779    -3.1867555664
    2.6432160804    -3.1446197729
    2.6633165829    -3.1004763915
    2.6834170854    -3.0545355194
    2.7035175879    -3.0069963875
    2.7236180905    -2.9580476172
    2.7437185930    -2.9078674999
    2.7638190955    -2.8566242793
    2.7839195980    -2.8044764246
    2.8040201005    -2.7515729955
    2.8241206030    -2.6980538775
    2.8442211055    -2.6440501573
    2.8643216080    -2.5896844537
    2.8844221106    -2.5350711912
    2.9045226131    -2.4803120613
    2.9246231156    -2.4246688741
    2.9447236181    -2.3694713016
    2.9648241206    -2.3158458716
    2.9849246231    -2.2622799541
    3.0050251256    -2.2085973791
    3.0251256281    -2.1548966328
    3.0452261307    -2.1019222180
    3.0653266332    -2.0495534272
    3.0854271357    -1.9976787292
    3.1055276382    -1.9463487791
    3.1256281407    -1.8956057473
    3.1457286432    -1.8454872433
    3.1658291457    -1.7960278497
    3.1859296482    -1.7472569747
    3.2060301508    -1.6992020590
    3.2261306533    -1.6518856235
    3.2462311558    -1.6053289459
    3.2663316583    -1.5595480044
    3.2864321608    -1.5145595192
    3.3065326633    -1.4703730654
    3.3266331658    -1.4270010813
    3.3467336683    -1.3844498802
    3.3668341708    -1.3427233669
    3.3869346734    -1.3018292302
    3.4070351759    -1.2617754350
    3.4271356784    -1.2225402482
    3.4472361809    -1.1841130322
    3.4673366834    -1.1464016411
    3.4874371859    -1.1093219808
    3.5075376884    -1.0729948695
    3.5276381909    -1.0375341624
    3.5477386935    -1.0029134915
    3.5678391960    -0.9690895918
    3.5879396985    -0.9360647301
    3.6080402010    -0.9038438408
    3.6281407035    -0.8724307907
    3.6482412060    -0.8417656263
    3.6683417085    -0.8117434503
    3.6884422111    -0.7824403807
    3.7085427136    -0.7539135811
    3.7286432161    -0.7262085734
    3.7487437186    -0.6993594690
    3.7688442211    -0.6733854198
    3.7889447236    -0.6483444128
    3.8090452261    -0.6242809744
    3.8291457286    -0.6009777035
    3.8492462312    -0.5782619631
    3.8693467337    -0.5559810232
    3.8894472362    -0.5340006031
    3.9095477387    -0.5122994737
    3.9296482412    -0.4908740568
    3.9497487437    -0.4697306885
    3.9698492462    -0.4488826215
    3.9899497487    -0.4283486845
    4.0100502513    -0.4081848867
    4.0301507538    -0.3882981880
    4.0502512563    -0.3687033590
    4.0703517588    -0.3494345786
    4.0904522613    -0.3305243195
    4.1105527638    -0.3120026174
    4.1306532663    -0.2938965807
    4.1507537688    -0.2762241579
    4.1708542714    -0.2608817343
    4.1909547739    -0.2466960884
    4.2110552764    -0.2328629240
    4.2311557789    -0.2193544676
    4.2512562814    -0.2062269177
    4.2713567839    -0.1935268092
    4.2914572864    -0.1812865252
    4.3115577889    -0.1695269634
    4.3316582915    -0.1582597594
    4.3517587940    -0.1474891377
    4.3718592965    -0.1372134486
    4.3919597990    -0.1274264400
    4.4120603015    -0.1181183077
    4.4321608040    -0.1092765589
    4.4522613065    -0.1008867191
    4.4723618090    -0.0929329099
    4.4924623116    -0.0853983165
    4.5125628141    -0.0782655643
    4.5326633166    -0.0715170211
    4.5527638191    -0.0651350359
    4.5728643216    -0.0591021265
    4.5929648241    -0.0534011247
    4.6130653266    -0.0480152856
    4.6331658292    -0.0429283695
    4.6532663317    -0.0381246998
    4.6733668342    -0.0335892021
    4.6934673367    -0.0293074286
    4.7135678392    -0.0252655699
    4.7336683417    -0.0214504574
    4.7537688442    -0.0178495586
    4.7738693467    -0.0144512778
    4.7939698492    -0.0112365700
    4.8140703518    -0.0091695412
    4.8341708543    -0.0075867266
    4.8542713568    -0.0060943977
    4.8743718593    -0.0046808294
    4.8944723618    -0.0033419341
    4.9145728643    -0.0020738308
    4.9346733668    -0.0008736685
    4.9547738694     0.0000000000
    4.9748743719     0.0000000000
    4.9949748744     0.0000000000
    5.0150753769     0.0000000000
    5.0351758794     0.0000000000
    5.0552763819     0.0000000000
    5.0753768844     0.0000000000
    5.0954773869     0.0000000000
    5.1155778894     0.0000000000
    5.1356783920     0.0000000000
    5.1557788945     0.0000000000
    5.1758793970     0.0000000000
    5.1959798995     0.0000000000
    5.2160804020     0.0000000000
    5.2361809045     0.0000000000
    5.2562814070     0.0000000000
    5.2763819096     0.0000000000
    5.2964824121     0.0000000000
    5.3165829146     0.0000000000
    5.3366834171     0.0000000000
    5.3567839196     0.0000000000
    5.3768844221     0.0000000000
    5.3969849246     0.0000000000
    5.4170854271     0.0000000000
    5.4371859297     0.0000000000
    5.4572864322     0.0000000000
    5.4773869347     0.0000000000
    5.4974874372     0.0000000000
    5.5175879397     0.0000000000
    5.5376884422     0.0000000000
    5.5577889447     0.0000000000
    5.5778894472     0.0000000000
    5.5979899497     0.0000000000
    5.6180904523     0.0000000000
    5.6381909548     0.0000000000
    5.6582914573     0.0000000000
    5.6783919598     0.0000000000
    5.6984924623     0.0000000000
    5.7185929648     0.0000000000
    5.7386934673     0.0000000000
    5.7587939699     0.0000000000
    5.7788944724     0.0000000000
    5.7989949749     0.0000000000
    5.8190954774     0.0000000000
    5.8391959799     0.0000000000
    5.8592964824     0.0000000000
    5.8793969849     0.0000000000
    5.8994974874     0.0000000000
    5.9195979899     0.0000000000
    5.9396984925     0.0000000000
    5.9597989950     0.0000000000
    5.9798994975     0.0000000000
    6.0000000000     0.0000000000
