# Cohesive energy (eV) vs. nearest neighbor radial distance (Angstrom).
# potential = 1985--Foiles-S-M--Ni-Cu
# composition = CuNi3

# NOTE: These values are for static, unrelaxed structures and use the ideal
# b/a and c/a ratios for the crystal structure, not the potential-specific
# values.

# Calculations from the NIST Interatomic Potential Repository Project:
# http://www.ctcms.nist.gov/potentials/

# Table generated 2017-10-01

   r                A15--Cr3Si       D0_3--BiF3       L1_2--AuCu3     
    2.0000000000    -3.1602504348    -0.8976939848     0.3810368013
    2.0201005025    -3.3270769661    -1.2993500421    -0.1258581182
    2.0402010050    -3.4711784674    -1.6623529261    -0.5989067146
    2.0603015075    -3.5952944148    -1.9896413673    -1.0208142642
    2.0804020100    -3.7000144222    -2.2844403010    -1.4019800917
    2.1005025126    -3.7863795406    -2.5499040220    -1.7467841100
    2.1206030151    -3.8573706294    -2.7873059917    -2.0588861564
    2.1407035176    -3.9147010812    -2.9987616405    -2.3405948367
    2.1608040201    -3.9622680229    -3.1863112516    -2.5963129650
    2.1809045226    -4.0010414891    -3.3516837934    -2.8265059984
    2.2010050251    -4.0303158618    -3.4965400677    -3.0321154999
    2.2211055276    -4.0506906292    -3.6224597331    -3.2152688787
    2.2412060301    -4.0627362505    -3.7309134228    -3.3778097184
    2.2613065327    -4.0669307276    -3.8223535904    -3.5207186437
    2.2814070352    -4.0632891768    -3.8988955812    -3.6454707247
    2.3015075377    -4.0529779905    -3.9614635246    -3.7534418327
    2.3216080402    -4.0364565369    -4.0116631369    -3.8459150172
    2.3417085427    -4.0141702754    -4.0524565399    -3.9227233028
    2.3618090452    -3.9865483862    -4.0849008486    -3.9862602177
    2.3819095477    -3.9540038869    -4.1094590078    -4.0377959070
    2.4020100502    -3.9170071014    -4.1266521902    -4.0800251873
    2.4221105528    -3.8761272159    -4.1376711541    -4.1155863534
    2.4422110553    -3.8287235604    -4.1419898405    -4.1433099830
    2.4623115578    -3.7779625888    -4.1399355178    -4.1636596466
    2.4824120603    -3.7240342093    -4.1315824917    -4.1771415859
    2.5025125628    -3.6675394285    -4.1179348459    -4.1841982901
    2.5226130653    -3.6086838659    -4.1012846298    -4.1850535384
    2.5427135678    -3.5477415678    -4.0802459737    -4.1796393649
    2.5628140703    -3.4849645892    -4.0545850673    -4.1686716416
    2.5829145729    -3.4226481622    -4.0247631522    -4.1526468724
    2.6030150754    -3.3591942925    -3.9914311665    -4.1318870764
    2.6231155779    -3.2944892677    -3.9537433189    -4.1067039635
    2.6432160804    -3.2287480273    -3.9115330726    -4.0773990441
    2.6633165829    -3.1621850513    -3.8662562261    -4.0442636833
    2.6834170854    -3.0953307734    -3.8171990913    -4.0075791203
    2.7035175879    -3.0279952010    -3.7654672111    -3.9676469326
    2.7236180905    -2.9603419813    -3.7115471480    -3.9222251168
    2.7437185930    -2.8925604281    -3.6556655473    -3.8736695877
    2.7638190955    -2.8242756715    -3.5980384622    -3.8225297797
    2.7839195980    -2.7561953325    -3.5388715169    -3.7708366374
    2.8040201005    -2.6883513776    -3.4783600155    -3.7180954634
    2.8241206030    -2.6208518520    -3.4166890826    -3.6634995379
    2.8442211055    -2.5537944221    -3.3540338442    -3.6072490615
    2.8643216080    -2.4873483136    -3.2905596181    -3.5497953061
    2.8844221106    -2.4216791688    -3.2264221518    -3.4915751462
    2.9045226131    -2.3566875123    -3.1617678678    -3.4321917501
    2.9246231156    -2.2924395879    -3.0967347037    -3.3718123031
    2.9447236181    -2.2289947274    -3.0318917460    -3.3105946964
    2.9648241206    -2.1664040275    -2.9681666691    -3.2486877904
    2.9849246231    -2.1047352442    -2.9043227994    -3.1862316888
    3.0050251256    -2.0439165567    -2.8398201819    -3.1233580092
    3.0251256281    -1.9835760867    -2.7753904677    -3.0601901724
    3.0452261307    -1.9238296116    -2.7114310141    -2.9968436885
    3.0653266332    -1.8651817014    -2.6478933041    -2.9334475221
    3.0854271357    -1.8076228980    -2.5847563208    -2.8695263667
    3.1055276382    -1.7511678908    -2.5220909231    -2.8055424999
    3.1256281407    -1.6958299500    -2.4599619496    -2.7418098252
    3.1457286432    -1.6416181019    -2.3984284690    -2.6784017086
    3.1658291457    -1.5885392676    -2.3375441304    -2.6153894590
    3.1859296482    -1.5366027625    -2.2773574736    -2.5528387093
    3.2060301508    -1.4857863337    -2.2179087991    -2.4908097099
    3.2261306533    -1.4360462585    -2.1592652634    -2.4293576118
    3.2462311558    -1.3872636358    -2.1013334489    -2.3685326851
    3.2663316583    -1.3395053909    -2.0439510731    -2.3083805384
    3.2864321608    -1.2929007224    -1.9871866966    -2.2489424191
    3.3065326633    -1.2474334037    -1.9312116283    -2.1902530400
    3.3266331658    -1.2030762218    -1.8760264520    -2.1323666200
    3.3467336683    -1.1598150219    -1.8217915320    -2.0752323300
    3.3668341708    -1.1176447247    -1.7685340639    -2.0185200304
    3.3869346734    -1.0765431314    -1.7162568396    -1.9622477855
    3.4070351759    -1.0364959679    -1.6649683589    -1.9074923259
    3.4271356784    -0.9974981862    -1.6146732068    -1.8540090528
    3.4472361809    -0.9595161271    -1.5653762688    -1.8014277753
    3.4673366834    -0.9225359781    -1.5170827467    -1.7497641645
    3.4874371859    -0.8865572039    -1.4697722914    -1.6990278346
    3.5075376884    -0.8515503461    -1.4234171310    -1.6493077312
    3.5276381909    -0.8174710971    -1.3779181512    -1.6006649230
    3.5477386935    -0.7843253625    -1.3332808479    -1.5529652624
    3.5678391960    -0.7521224847    -1.2896266892    -1.5062053893
    3.5879396985    -0.7208066288    -1.2469798074    -1.4603687920
    3.6080402010    -0.6901820568    -1.2053075527    -1.4154127658
    3.6281407035    -0.6603334152    -1.1645978415    -1.3712473313
    3.6482412060    -0.6314098643    -1.1248391572    -1.3279257974
    3.6683417085    -0.6035172498    -1.0860217806    -1.2855511982
    3.6884422111    -0.5767390951    -1.0481336702    -1.2441291377
    3.7085427136    -0.5511628072    -1.0111610040    -1.2036297367
    3.7286432161    -0.5268633824    -0.9750897513    -1.1640431229
    3.7487437186    -0.5034998361    -0.9399033305    -1.1253659302
    3.7688442211    -0.4806649025    -0.9055964944    -1.0875824259
    3.7889447236    -0.4580793189    -0.8721481746    -1.0506828224
    3.8090452261    -0.4355626370    -0.8395373458    -1.0146635647
    3.8291457286    -0.4130097028    -0.8077439643    -0.9795033201
    3.8492462312    -0.3903717995    -0.7767740120    -0.9451867431
    3.8693467337    -0.3676235321    -0.7466252076    -0.9117115698
    3.8894472362    -0.3447750344    -0.7171807389    -0.8790739442
    3.9095477387    -0.3218784557    -0.6883719396    -0.8472323589
    3.9296482412    -0.3009468792    -0.6602694802    -0.8161730924
    3.9497487437    -0.2820961697    -0.6329936809    -0.7859026799
    3.9698492462    -0.2637455916    -0.6066315376    -0.7564290906
    3.9899497487    -0.2459782026    -0.5812428059    -0.7277105219
    4.0100502513    -0.2288618467    -0.5569376498    -0.6995507070
    4.0301507538    -0.2124415431    -0.5338013331    -0.6720367368
    4.0502512563    -0.1967440906    -0.5115508443    -0.6452879405
    4.0703517588    -0.1817818591    -0.4898230677    -0.6193920455
    4.0904522613    -0.1675559024    -0.4683579931    -0.5944107782
    4.1105527638    -0.1540585084    -0.4469804446    -0.5703845836
    4.1306532663    -0.1412752804    -0.4255812325    -0.5474958446
    4.1507537688    -0.1291868272    -0.4040972320    -0.5256569823
    4.1708542714    -0.1177701342    -0.3840144283    -0.5044833400
    4.1909547739    -0.1069996639    -0.3645428525    -0.4836946690
    4.2110552764    -0.0968482397    -0.3450706371    -0.4630954001
    4.2311557789    -0.0872877461    -0.3255235808    -0.4425565534
    4.2512562814    -0.0782896815    -0.3060677917    -0.4220009022
    4.2713567839    -0.0698263650    -0.2868901513    -0.4013908601
    4.2914572864    -0.0618727019    -0.2682967966    -0.3807186422
    4.3115577889    -0.0559191221    -0.2507707950    -0.3599982125
    4.3316582915    -0.0504601022    -0.2338331203    -0.3391921017
    4.3517587940    -0.0453179017    -0.2175308831    -0.3183064123
    4.3718592965    -0.0404753853    -0.2018942490    -0.2975748065
    4.3919597990    -0.0359161860    -0.1869397616    -0.2771912547
    4.4120603015    -0.0316250226    -0.1726731042    -0.2573030747
    4.4321608040    -0.0279266263    -0.1590913889    -0.2380194421
    4.4522613065    -0.0255138477    -0.1461850474    -0.2194184966
    4.4723618090    -0.0232380205    -0.1339393896    -0.2015532632
    4.4924623116    -0.0210914022    -0.1223358825    -0.1844565755
    4.5125628141    -0.0190666681    -0.1113531924    -0.1681451561
    4.5326633166    -0.0171568933    -0.1009680344    -0.1526229941
    4.5527638191    -0.0153555345    -0.0911558577    -0.1378841293
    4.5728643216    -0.0136564118    -0.0818913956    -0.1239149401
    4.5929648241    -0.0120536908    -0.0731491035    -0.1106960172
    4.6130653266    -0.0105418649    -0.0649035036    -0.0982036904
    4.6331658292    -0.0091157387    -0.0571294526    -0.0864112669
    4.6532663317    -0.0077704112    -0.0498023468    -0.0752900300
    4.6733668342    -0.0065012601    -0.0428982763    -0.0648100388
    4.6934673367    -0.0053039267    -0.0363941355    -0.0549407631
    4.7135678392    -0.0041743013    -0.0302677013    -0.0456515829
    4.7336683417    -0.0031085093    -0.0244976829    -0.0369121760
    4.7537688442    -0.0021028984    -0.0190637497    -0.0286928144
    4.7738693467    -0.0011542179    -0.0139472957    -0.0209657243
    4.7939698492    -0.0002544302    -0.0091112309    -0.0136747632
    4.8140703518    -0.0000045907    -0.0068894768    -0.0103343337
    4.8341708543     0.0000000000    -0.0056900450    -0.0085350675
    4.8542713568     0.0000000000    -0.0045707983    -0.0068561974
    4.8743718593     0.0000000000    -0.0035106220    -0.0052659330
    4.8944723618     0.0000000000    -0.0025064506    -0.0037596758
    4.9145728643     0.0000000000    -0.0015553731    -0.0023330597
    4.9346733668     0.0000000000    -0.0006552514    -0.0009828771
    4.9547738694     0.0000000000     0.0000000000     0.0000000000
    4.9748743719     0.0000000000     0.0000000000     0.0000000000
    4.9949748744     0.0000000000     0.0000000000     0.0000000000
    5.0150753769     0.0000000000     0.0000000000     0.0000000000
    5.0351758794     0.0000000000     0.0000000000     0.0000000000
    5.0552763819     0.0000000000     0.0000000000     0.0000000000
    5.0753768844     0.0000000000     0.0000000000     0.0000000000
    5.0954773869     0.0000000000     0.0000000000     0.0000000000
    5.1155778894     0.0000000000     0.0000000000     0.0000000000
    5.1356783920     0.0000000000     0.0000000000     0.0000000000
    5.1557788945     0.0000000000     0.0000000000     0.0000000000
    5.1758793970     0.0000000000     0.0000000000     0.0000000000
    5.1959798995     0.0000000000     0.0000000000     0.0000000000
    5.2160804020     0.0000000000     0.0000000000     0.0000000000
    5.2361809045     0.0000000000     0.0000000000     0.0000000000
    5.2562814070     0.0000000000     0.0000000000     0.0000000000
    5.2763819096     0.0000000000     0.0000000000     0.0000000000
    5.2964824121     0.0000000000     0.0000000000     0.0000000000
    5.3165829146     0.0000000000     0.0000000000     0.0000000000
    5.3366834171     0.0000000000     0.0000000000     0.0000000000
    5.3567839196     0.0000000000     0.0000000000     0.0000000000
    5.3768844221     0.0000000000     0.0000000000     0.0000000000
    5.3969849246     0.0000000000     0.0000000000     0.0000000000
    5.4170854271     0.0000000000     0.0000000000     0.0000000000
    5.4371859297     0.0000000000     0.0000000000     0.0000000000
    5.4572864322     0.0000000000     0.0000000000     0.0000000000
    5.4773869347     0.0000000000     0.0000000000     0.0000000000
    5.4974874372     0.0000000000     0.0000000000     0.0000000000
    5.5175879397     0.0000000000     0.0000000000     0.0000000000
    5.5376884422     0.0000000000     0.0000000000     0.0000000000
    5.5577889447     0.0000000000     0.0000000000     0.0000000000
    5.5778894472     0.0000000000     0.0000000000     0.0000000000
    5.5979899497     0.0000000000     0.0000000000     0.0000000000
    5.6180904523     0.0000000000     0.0000000000     0.0000000000
    5.6381909548     0.0000000000     0.0000000000     0.0000000000
    5.6582914573     0.0000000000     0.0000000000     0.0000000000
    5.6783919598     0.0000000000     0.0000000000     0.0000000000
    5.6984924623     0.0000000000     0.0000000000     0.0000000000
    5.7185929648     0.0000000000     0.0000000000     0.0000000000
    5.7386934673     0.0000000000     0.0000000000     0.0000000000
    5.7587939699     0.0000000000     0.0000000000     0.0000000000
    5.7788944724     0.0000000000     0.0000000000     0.0000000000
    5.7989949749     0.0000000000     0.0000000000     0.0000000000
    5.8190954774     0.0000000000     0.0000000000     0.0000000000
    5.8391959799     0.0000000000     0.0000000000     0.0000000000
