# Cohesive energy (eV) vs. nearest neighbor radial distance (Angstrom).
# potential = 1985--Foiles-S-M--Ni-Cu
# composition = Ni

# NOTE: These values are for static, unrelaxed structures and use the ideal
# b/a and c/a ratios for the crystal structure, not the potential-specific
# values.

# Calculations from the NIST Interatomic Potential Repository Project:
# http://www.ctcms.nist.gov/potentials/

# Table generated 2017-10-01

   r                A1--Cu--fcc      A15--beta-W      A2--W--bcc       A3'--alpha-La    A3--Mg--hcp      A4--C--dc        A5--beta-Sn      A6--In--bct      A7--alpha-As     Ah--alpha-Po--sc
    2.0000000000    -0.2274422769    -3.4630827863    -1.4155381450    -0.2242916627    -0.2211410486    -1.8644813393    -2.5247532481    -1.0695220430    -2.8053758890    -1.9908693012
    2.0201005025    -0.6882862846    -3.6219562296    -1.7732969179    -0.6854737575    -0.6826612304    -2.0348116447    -2.7396021308    -1.5126930729    -2.9240093492    -2.2348613534
    2.0402010050    -1.1129137801    -3.7604963772    -2.1001823947    -1.1106608372    -1.1084078943    -2.1874381593    -2.9318162734    -1.8601639422    -3.0267996566    -2.4550122280
    2.0603015075    -1.5332775803    -3.8809874967    -2.3980831733    -1.5331047450    -1.5329319097    -2.3235990243    -3.1029159284    -2.1790101887    -3.1153996060    -2.6529023648
    2.0804020100    -1.8729284558    -3.9842449964    -2.6689128742    -1.8738709480    -1.8748134402    -2.4445784955    -3.2543370605    -2.4696216497    -3.1912245978    -2.8300233944
    2.1005025126    -2.1838627802    -4.0718246864    -2.9119304388    -2.1858055592    -2.1877483383    -2.5524349480    -3.3884013389    -2.7337301300    -3.2545091314    -2.9877818416
    2.1206030151    -2.4677847218    -4.1458940239    -3.1296917567    -2.4706269667    -2.4734692116    -2.6469942761    -3.5059776594    -2.9691096942    -3.3063450397    -3.1275028935
    2.1407035176    -2.7263115443    -4.2057405050    -3.3254003918    -2.7299643186    -2.7336170930    -2.7292215002    -3.6075758187    -3.1810844009    -3.3475557161    -3.2504357128
    2.1608040201    -2.9609698223    -4.2511615215    -3.5004439093    -2.9645085575    -2.9680472928    -2.8000192435    -3.6943445229    -3.3737427200    -3.3790610641    -3.3611081659
    2.1809045226    -3.1732156632    -4.2847087520    -3.6561371708    -3.1762882350    -3.1793608068    -2.8602315302    -3.7663181523    -3.5465228688    -3.4024051140    -3.4573967083
    2.2010050251    -3.3644224691    -4.3071952609    -3.7937255651    -3.3670756148    -3.3697287605    -2.9106473997    -3.8256344254    -3.7002198811    -3.4176779603    -3.5386188520
    2.2211055276    -3.5358927187    -4.3195115072    -3.9143881248    -3.5381674117    -3.5404421046    -2.9520043275    -3.8744555118    -3.8360630515    -3.4253159875    -3.6071832480
    2.2412060301    -3.6888598970    -4.3224916858    -4.0192405492    -3.6907920911    -3.6927242852    -2.9849914577    -3.9129996248    -3.9552146977    -3.4259775611    -3.6640220072
    2.2613065327    -3.8244918737    -4.3169169064    -4.1093381331    -3.8261131541    -3.8277344345    -3.0102526546    -3.9414721435    -4.0587735113    -3.4202748439    -3.7100087591
    2.2814070352    -3.9438941208    -4.3035182128    -4.1856785808    -3.9452322719    -3.9465704231    -3.0283893720    -3.9608364767    -4.1477777521    -3.4087768455    -3.7459620768
    2.3015075377    -4.0481127842    -4.2829794347    -4.2492047360    -4.0491922848    -4.0502717854    -3.0399633562    -3.9727291018    -4.2232082902    -3.3920122761    -3.7726487264
