reference,prototype
mp-2,A1--Cu--fcc
mp-13,A2--W--bcc
mp-23,A1--Cu--fcc
mp-30,A1--Cu--fcc
mp-41,A2--W--bcc
mp-42,
mp-46,A3--Mg--hcp
mp-50,A2--W--bcc
mp-54,A3--Mg--hcp
mp-72,
mp-73,A2--W--bcc
mp-81,A1--Cu--fcc
mp-91,A2--W--bcc
mp-102,A1--Cu--fcc
mp-110,A2--W--bcc
mp-124,A1--Cu--fcc
mp-126,A1--Cu--fcc
mp-129,A2--W--bcc
mp-131,A3--Mg--hcp
mp-134,A1--Cu--fcc
mp-136,A3--Mg--hcp
mp-150,A1--Cu--fcc
mp-153,A3--Mg--hcp
mp-522,
mp-2103,
mp-2258,
mp-6985,A1--Cu--fcc
mp-6986,A1--Cu--fcc
mp-8566,A3'--alpha-La--double-hcp
mp-8635,A1--Cu--fcc
mp-8637,A1--Cu--fcc
mp-8641,A1--Cu--fcc
mp-10257,A3--Mg--hcp
mp-10597,A3--Mg--hcp
mp-11334,A15--beta-W
mp-20483,A1--Cu--fcc
mp-20745,A3--Mg--hcp
mp-22692,A2--W--bcc
mp-568345,Ah--alpha-Po--sc
mp-569794,
mp-582681,
mp-669382,
mp-697196,
mp-867303,
mp-973364,A3'--alpha-La--double-hcp
mp-984351,
mp-985287,
mp-989695,A3'--alpha-La--double-hcp
mp-989737,
mp-989782,A3--Mg--hcp
mp-998860,A2--W--bcc
mp-998890,A2--W--bcc
mp-1008634,A3--Mg--hcp
mp-1008728,A2--W--bcc
mp-1010136,A6--In--bct
mp-1014111,
oqmd-7246,
oqmd-7505,A1--Cu--fcc
oqmd-7509,A1--Cu--fcc
oqmd-7517,A1--Cu--fcc
oqmd-7522,A1--Cu--fcc
oqmd-8079,A3--Mg--hcp
oqmd-8100,A1--Cu--fcc
oqmd-8390,A2--W--bcc
oqmd-8568,A2--W--bcc
oqmd-8597,A2--W--bcc
oqmd-9226,A3--Mg--hcp
oqmd-9254,A15--beta-W
oqmd-9315,
oqmd-9320,A2--W--bcc
oqmd-9752,
oqmd-9753,
oqmd-10123,
oqmd-10125,A3--Mg--hcp
oqmd-10713,
oqmd-11876,A3'--alpha-La--double-hcp
oqmd-16591,
oqmd-21053,
oqmd-21731,
oqmd-22516,A2--W--bcc
oqmd-31283,
oqmd-31750,A3--Mg--hcp
oqmd-51781,A3--Mg--hcp
oqmd-52301,
oqmd-52302,
oqmd-67408,A3--Mg--hcp
oqmd-299431,
oqmd-301102,
oqmd-301553,
oqmd-301921,
oqmd-302324,
oqmd-303059,
oqmd-304243,
oqmd-304341,
oqmd-305408,
oqmd-306459,
oqmd-306651,
oqmd-307818,
oqmd-309973,
oqmd-311644,
oqmd-312095,
oqmd-312463,
oqmd-312866,
oqmd-313601,
oqmd-314785,
oqmd-314883,
oqmd-405715,
oqmd-506244,
oqmd-517493,
oqmd-594127,
oqmd-594128,A1--Cu--fcc
oqmd-631034,
oqmd-635950,A1--Cu--fcc
oqmd-636382,A1--Cu--fcc
oqmd-637373,A2--W--bcc
oqmd-637416,A3--Mg--hcp
oqmd-670903,
oqmd-676147,A1--Cu--fcc
oqmd-676148,A1--Cu--fcc
oqmd-676152,A1--Cu--fcc
oqmd-676153,A1--Cu--fcc
oqmd-676155,A1--Cu--fcc
oqmd-676232,A2--W--bcc
oqmd-676271,A1--Cu--fcc
oqmd-676287,A2--W--bcc
oqmd-676465,A1--Cu--fcc
oqmd-676469,A2--W--bcc
oqmd-676681,A2--W--bcc
oqmd-677944,A3--Mg--hcp
oqmd-682982,A3--Mg--hcp
oqmd-687441,
oqmd-690547,A2--W--bcc
oqmd-752492,
oqmd-752493,A3--Mg--hcp
oqmd-752494,
oqmd-752495,A3--Mg--hcp
oqmd-752499,
oqmd-752506,A3--Mg--hcp
oqmd-752508,A3--Mg--hcp
oqmd-752517,
oqmd-755820,A3--Mg--hcp
oqmd-755821,A3--Mg--hcp
oqmd-755822,A3--Mg--hcp
oqmd-755823,A3--Mg--hcp
oqmd-755827,A3--Mg--hcp
oqmd-755834,A3--Mg--hcp
oqmd-755836,A3--Mg--hcp
oqmd-755845,A3--Mg--hcp
oqmd-758444,
oqmd-758445,A3--Mg--hcp
oqmd-758446,A3--Mg--hcp
oqmd-758447,A3--Mg--hcp
oqmd-758451,A3--Mg--hcp
oqmd-758458,A3--Mg--hcp
oqmd-758460,A3--Mg--hcp
oqmd-758469,A3--Mg--hcp
oqmd-853150,
oqmd-937344,
oqmd-948593,
