reference,prototype,composition
mp-23,A1--Cu--fcc,Ni
mp-30,A1--Cu--fcc,Cu
mp-124,A1--Cu--fcc,Ag
mp-8566,A3'--alpha-La--double-hcp,Ag
mp-10257,A3--Mg--hcp,Ni
mp-10597,A3--Mg--hcp,Ag
mp-989695,A3'--alpha-La--double-hcp,Cu
mp-989737,,Ag
mp-989782,A3--Mg--hcp,Cu
mp-998890,A2--W--bcc,Cu
mp-1008728,A2--W--bcc,Ni
mp-1010136,A6--In--bct,Cu
mp-1014111,,Ni
mp-1056079,,Cu
mp-1059259,,Cu
mp-1094136,,Ni
oqmd-10125,A3--Mg--hcp,Ag
oqmd-11876,A3'--alpha-La--double-hcp,Ag
oqmd-22516,A2--W--bcc,Ni
oqmd-635950,A1--Cu--fcc,Cu
oqmd-637373,A2--W--bcc,Cu
oqmd-676148,A1--Cu--fcc,Ni
oqmd-676271,A1--Cu--fcc,Ag
oqmd-677944,A3--Mg--hcp,Ni
oqmd-1214591,,Ag
oqmd-1214609,,Cu
oqmd-1214639,,Ni
oqmd-1214680,,Ag
oqmd-1214698,,Cu
oqmd-1214728,,Ni
oqmd-1214769,,Ag
oqmd-1214787,,Cu
oqmd-1214817,,Ni
oqmd-1214858,,Ag
oqmd-1214876,,Cu
oqmd-1214906,,Ni
oqmd-1214947,A15--beta-W,Ag
oqmd-1214965,A15--beta-W,Cu
oqmd-1214995,A15--beta-W,Ni
oqmd-1215036,,Ag
oqmd-1215054,,Cu
oqmd-1215084,,Ni
oqmd-1215125,A2--W--bcc,Ag
oqmd-1215214,,Ag
oqmd-1215232,,Cu
oqmd-1215262,,Ni
oqmd-1215321,A3--Mg--hcp,Cu
oqmd-1215411,A3'--alpha-La--double-hcp,Cu
oqmd-1215441,A3'--alpha-La--double-hcp,Ni
oqmd-1215482,A4--C--dc,Ag
oqmd-1215500,A4--C--dc,Cu
oqmd-1215530,A4--C--dc,Ni
oqmd-1215571,A5--beta-Sn,Ag
oqmd-1215589,A5--beta-Sn,Cu
oqmd-1215619,A5--beta-Sn,Ni
oqmd-1215660,A6--In--bct,Ag
oqmd-1215678,A6--In--bct,Cu
oqmd-1215708,A6--In--bct,Ni
oqmd-1215838,,Ag
oqmd-1215856,,Cu
oqmd-1215886,,Ni
oqmd-1215927,,Ag
oqmd-1215945,,Cu
oqmd-1215975,,Ni
oqmd-1216016,,Ag
oqmd-1216034,,Cu
oqmd-1216067,,Ni
