,calc_key,potential_LAMMPS_key,potential_LAMMPS_id,potential_key,potential_id,composition,prototype,family,a,b,c,alpha,beta,gamma,strainrange,straindirection,C11,C12,C13,C14,C15,C16,C21,C22,C23,C24,C25,C26,C31,C32,C33,C34,C35,C36,C41,C42,C43,C44,C45,C46,C51,C52,C53,C54,C55,C56,C61,C62,C63,C64,C65,C66
605,bc7a334a-1cfe-450a-ae93-defe1ffa5296,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu,A1--Cu--fcc,A1--Cu--fcc,3.61499988532035,3.61499988532035,3.61499988532035,90.0,90.0,90.0,1e-08,negative,168.642,123.468,123.468,-0.000,-0.000,-0.000,123.468,168.642,123.468,-0.000,-0.000,-0.000,123.468,123.468,168.642,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,76.591,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,76.591,-0.000,-0.000,-0.000,-0.000,-0.000,-0.000,76.591
604,bc7a334a-1cfe-450a-ae93-defe1ffa5296,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu,A1--Cu--fcc,A1--Cu--fcc,3.61499988532035,3.61499988532035,3.61499988532035,90.0,90.0,90.0,1e-08,positive,168.642,123.468,123.468,0.000,0.000,0.000,123.468,168.642,123.468,0.000,0.000,0.000,123.468,123.468,168.642,0.000,0.000,0.000,0.000,0.000,-0.000,76.591,0.000,0.000,0.000,0.000,-0.000,0.000,76.591,0.000,0.000,0.000,0.000,0.000,0.000,76.591
57,1a929a91-635f-4a1e-b1b0-bf42402f433a,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu,A1--Cu--fcc,A1--Cu--fcc,3.61499988532035,3.61499988532035,3.61499988532035,90.0,90.0,90.0,1e-07,negative,168.642,123.468,123.468,-0.000,-0.000,-0.000,123.468,168.642,123.468,-0.000,-0.000,-0.000,123.468,123.468,168.642,-0.000,-0.000,-0.000,-0.000,0.000,0.000,76.591,-0.000,-0.000,0.000,-0.000,0.000,-0.000,76.591,-0.000,0.000,0.000,-0.000,-0.000,-0.000,76.591
56,1a929a91-635f-4a1e-b1b0-bf42402f433a,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu,A1--Cu--fcc,A1--Cu--fcc,3.61499988532035,3.61499988532035,3.61499988532035,90.0,90.0,90.0,1e-07,positive,168.642,123.468,123.468,0.000,0.000,0.000,123.468,168.642,123.468,0.000,0.000,0.000,123.468,123.468,168.642,0.000,0.000,0.000,0.000,-0.000,-0.000,76.591,0.000,0.000,-0.000,0.000,-0.000,0.000,76.591,0.000,-0.000,-0.000,0.000,0.000,0.000,76.591
703,dc3a02ca-a482-44f4-9f84-ff3c1d60ac9b,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu,A1--Cu--fcc,A1--Cu--fcc,3.61499988532035,3.61499988532035,3.61499988532035,90.0,90.0,90.0,1e-06,negative,168.642,123.469,123.469,-0.000,-0.000,-0.000,123.469,168.642,123.469,-0.000,-0.000,-0.000,123.469,123.469,168.642,-0.000,-0.000,-0.000,-0.000,0.000,0.000,76.591,-0.000,-0.000,0.000,-0.000,0.000,-0.000,76.591,-0.000,0.000,0.000,-0.000,-0.000,-0.000,76.591
702,dc3a02ca-a482-44f4-9f84-ff3c1d60ac9b,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu,A1--Cu--fcc,A1--Cu--fcc,3.61499988532035,3.61499988532035,3.61499988532035,90.0,90.0,90.0,1e-06,positive,168.642,123.468,123.468,0.000,0.000,0.000,123.468,168.642,123.468,0.000,0.000,0.000,123.468,123.468,168.642,0.000,0.000,0.000,0.000,-0.000,-0.000,76.591,0.000,0.000,-0.000,0.000,-0.000,0.000,76.591,0.000,-0.000,-0.000,0.000,0.000,0.000,76.591
587,b21a9b35-b825-42bd-b33d-477be327907e,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu,A1--Cu--fcc,A1--Cu--fcc,3.61499988532035,3.61499988532035,3.61499988532035,90.0,90.0,90.0,1e-05,negative,168.646,123.473,123.473,-0.000,-0.000,-0.000,123.473,168.646,123.473,-0.000,-0.000,-0.000,123.473,123.473,168.646,-0.000,-0.000,-0.000,-0.000,0.001,0.003,76.591,-0.000,-0.000,0.001,-0.000,0.003,-0.000,76.591,-0.000,0.001,0.003,-0.000,-0.000,-0.000,76.591
586,b21a9b35-b825-42bd-b33d-477be327907e,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu,A1--Cu--fcc,A1--Cu--fcc,3.61499988532035,3.61499988532035,3.61499988532035,90.0,90.0,90.0,1e-05,positive,168.638,123.464,123.464,0.000,0.000,0.000,123.464,168.638,123.464,0.000,0.000,0.000,123.464,123.464,168.638,0.000,0.000,0.000,0.000,-0.001,-0.003,76.591,0.000,0.000,-0.001,0.000,-0.003,0.000,76.591,0.000,-0.001,-0.003,0.000,0.000,0.000,76.591
253,4cd10493-154f-4ddb-8411-4d8a4ec17d47,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu,A15--beta-W,A15--beta-W,4.588822465696847,4.588822465696847,4.588822465696847,90.0,90.0,90.0,1e-08,negative,259.143,69.525,69.525,0.000,0.000,0.000,69.525,259.143,69.525,0.000,-0.000,0.000,69.525,69.525,259.143,0.000,-0.000,0.000,0.000,-0.000,-0.000,5.481,-0.000,-0.000,0.000,0.000,-0.000,0.000,5.481,-0.000,0.000,-0.000,0.000,0.000,-0.000,5.481
252,4cd10493-154f-4ddb-8411-4d8a4ec17d47,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu,A15--beta-W,A15--beta-W,4.588822465696847,4.588822465696847,4.588822465696847,90.0,90.0,90.0,1e-08,positive,259.143,69.525,69.525,-0.000,0.000,-0.000,69.525,259.143,69.525,-0.000,0.000,-0.000,69.525,69.525,259.143,-0.000,-0.000,0.000,0.000,-0.000,0.000,5.481,0.000,0.000,-0.000,0.000,-0.000,-0.000,5.481,-0.000,-0.000,0.000,0.000,-0.000,0.000,5.481
