reference,prototype,composition
mp-13,A2--W--bcc,Fe
mp-23,A1--Cu--fcc,Ni
mp-30,A1--Cu--fcc,Cu
mp-136,A3--Mg--hcp,Fe
mp-150,A1--Cu--fcc,Fe
mp-10257,A3--Mg--hcp,Ni
mp-568345,Ah--alpha-Po--sc,Fe
mp-989695,A3'--alpha-La--double-hcp,Cu
mp-989782,A3--Mg--hcp,Cu
mp-998890,A2--W--bcc,Cu
mp-1008728,A2--W--bcc,Ni
mp-1010136,A6--In--bct,Cu
mp-1014111,,Ni
mp-1056079,,Cu
mp-1059259,,Cu
mp-1094136,,Ni
mp-1096950,,Fe
mp-1120774,,Cu
mp-1184054,,CuNi3
mp-1184069,,CuNi
mp-1194030,,Fe
mp-1225687,,CuNi
mp-1225694,,CuNi3
mp-1225695,,CuNi
mp-1225698,,Cu3Ni
oqmd-7505,A1--Cu--fcc,Fe
oqmd-8568,A2--W--bcc,Fe
oqmd-21053,,Fe
oqmd-21731,,Fe
oqmd-22516,A2--W--bcc,Ni
oqmd-51781,A3--Mg--hcp,Fe
oqmd-299961,,CuNi3
oqmd-302756,,Cu3Ni
oqmd-307075,B2--CsCl,CuNi
oqmd-310503,D0_3--BiF3,CuNi3
oqmd-313298,D0_3--BiF3,Cu3Ni
oqmd-321045,,Cu3Ni
oqmd-323840,,CuNi3
oqmd-328159,,CuNi
oqmd-338617,L1_0--AuCu,CuNi
oqmd-345531,L1_2--AuCu3,Cu3Ni
oqmd-348326,L1_2--AuCu3,CuNi3
oqmd-426732,,Cu2Ni3
oqmd-635950,A1--Cu--fcc,Cu
oqmd-637373,A2--W--bcc,Cu
oqmd-676148,A1--Cu--fcc,Ni
oqmd-677944,A3--Mg--hcp,Ni
oqmd-1106260,B1--NaCl--rock-salt,CuNi
oqmd-1214609,,Cu
oqmd-1214614,,Fe
oqmd-1214639,,Ni
oqmd-1214698,,Cu
oqmd-1214703,,Fe
oqmd-1214728,,Ni
oqmd-1214787,,Cu
oqmd-1214792,,Fe
oqmd-1214817,,Ni
oqmd-1214876,,Cu
oqmd-1214881,,Fe
oqmd-1214906,,Ni
oqmd-1214965,A15--beta-W,Cu
oqmd-1214970,A15--beta-W,Fe
oqmd-1214995,A15--beta-W,Ni
oqmd-1215054,,Cu
oqmd-1215059,,Fe
oqmd-1215084,,Ni
oqmd-1215232,,Cu
oqmd-1215237,,Fe
oqmd-1215262,,Ni
oqmd-1215321,A3--Mg--hcp,Cu
oqmd-1215411,A3'--alpha-La--double-hcp,Cu
oqmd-1215416,A3'--alpha-La--double-hcp,Fe
oqmd-1215441,A3'--alpha-La--double-hcp,Ni
oqmd-1215500,A4--C--dc,Cu
oqmd-1215505,A4--C--dc,Fe
oqmd-1215530,A4--C--dc,Ni
oqmd-1215589,A5--beta-Sn,Cu
oqmd-1215594,A5--beta-Sn,Fe
oqmd-1215619,A5--beta-Sn,Ni
oqmd-1215678,A6--In--bct,Cu
oqmd-1215683,A6--In--bct,Fe
oqmd-1215708,A6--In--bct,Ni
oqmd-1215856,,Cu
oqmd-1215861,,Fe
oqmd-1215886,,Ni
oqmd-1215945,,Cu
oqmd-1215950,,Fe
oqmd-1215975,,Ni
oqmd-1216034,,Cu
oqmd-1216039,,Fe
oqmd-1216067,,Ni
oqmd-1220003,,CuNi
oqmd-1222197,B3--ZnS--cubic-zinc-blende,CuNi
oqmd-1225682,,CuNi
oqmd-1229168,,CuNi
oqmd-1232654,,Cu2Ni
