reference,prototype
mp-1,A2--W--bcc
mp-2,A1--Cu--fcc
mp-3,A5--beta-Sn
mp-7,
mp-8,A3--Mg--hcp
mp-13,A2--W--bcc
mp-14,
mp-17,multiple
mp-18,A3--Mg--hcp
mp-19,
mp-20,A2--W--bcc
mp-23,A1--Cu--fcc
mp-24,
mp-25,
mp-27,A1--Cu--fcc
mp-28,A1--Cu--fcc
mp-30,A1--Cu--fcc
mp-33,A3--Mg--hcp
mp-34,
mp-35,
mp-41,A2--W--bcc
mp-42,
mp-43,
mp-44,
mp-46,A3--Mg--hcp
mp-47,
mp-48,
mp-50,A2--W--bcc
mp-51,A1--Cu--fcc
mp-53,
mp-54,A3--Mg--hcp
mp-58,A2--W--bcc
mp-64,
mp-66,A4--C--dc
mp-68,A3--Mg--hcp
mp-69,A3'--alpha-La--double-hcp
mp-70,A2--W--bcc
mp-72,
mp-73,A2--W--bcc
mp-75,A2--W--bcc
mp-77,
mp-79,A3--Mg--hcp
mp-81,A1--Cu--fcc
mp-83,
mp-86,
mp-87,A3--Mg--hcp
mp-89,A3--Mg--hcp
mp-90,A2--W--bcc
mp-91,A2--W--bcc
mp-92,A5--beta-Sn
mp-93,
mp-94,A3--Mg--hcp
mp-96,
mp-102,A1--Cu--fcc
mp-105,
mp-108,A2--W--bcc
mp-109,
mp-110,A2--W--bcc
mp-118,
mp-119,A2--W--bcc
mp-121,
mp-124,A1--Cu--fcc
mp-126,A1--Cu--fcc
mp-127,A2--W--bcc
mp-129,A2--W--bcc
mp-130,A7--alpha-As
mp-131,A3--Mg--hcp
mp-134,A1--Cu--fcc
mp-135,A2--W--bcc
mp-136,A3--Mg--hcp
mp-146,A2--W--bcc
mp-147,
mp-149,A4--C--dc
mp-150,A1--Cu--fcc
mp-153,A3--Mg--hcp
mp-154,
mp-157,
mp-165,
mp-168,
mp-169,A7--alpha-As
mp-171,
mp-173,
mp-193,
mp-196,
mp-238,L1_0--AuCu
mp-284,B2--CsCl
mp-305,B2--CsCl
mp-328,
mp-353,
mp-358,
mp-370,B1--NaCl--rock-salt
mp-380,
mp-390,
mp-406,B3--ZnS--cubic-zinc-blende
mp-430,
mp-449,
mp-458,
mp-472,
mp-485,
mp-499,
mp-510,
mp-522,L1_0--AuCu
mp-556,
mp-571,B2--CsCl
mp-593,
mp-597,
mp-631,B1--NaCl--rock-salt
mp-634,
mp-672,
mp-748,
mp-771,L1_0--AuCu
mp-778,
mp-796,multiple
mp-820,B3--ZnS--cubic-zinc-blende
mp-829,B2--CsCl
mp-871,
mp-882,
mp-948,B1--NaCl--rock-salt
mp-957,B1--NaCl--rock-salt
mp-973,
mp-998,
mp-1005,
mp-1038,
mp-1048,
mp-1055,B1--NaCl--rock-salt
mp-1057,
mp-1070,
mp-1123,B3--ZnS--cubic-zinc-blende
mp-1125,
mp-1147,
mp-1153,C1--CaF2--fluorite
mp-1190,B3--ZnS--cubic-zinc-blende
mp-1203,
mp-1215,
mp-1246,
mp-1288,
mp-1335,B2--CsCl
mp-1367,C1--CaF2--fluorite
mp-1409,
mp-1418,L1_2--AuCu3
mp-1439,
mp-1451,
mp-1473,
mp-1487,B2--CsCl
mp-1492,
mp-1498,
mp-1507,
mp-1605,
mp-1714,
mp-1723,L1_2--AuCu3
mp-1776,C1--CaF2--fluorite
mp-1778,B3--ZnS--cubic-zinc-blende
mp-1794,B1--NaCl--rock-salt
mp-1808,
mp-1811,B1--NaCl--rock-salt
mp-1823,
mp-1840,
mp-1842,
mp-1865,
mp-1871,
mp-1891,
mp-1895,B1--NaCl--rock-salt
mp-1902,B2--CsCl
mp-1953,L1_0--AuCu
mp-2018,multiple
mp-2103,L1_2--AuCu3
mp-2151,
mp-2176,B3--ZnS--cubic-zinc-blende
mp-2199,multiple
mp-2210,B2--CsCl
mp-2213,L1_0--AuCu
mp-2250,
mp-2258,L1_2--AuCu3
mp-2358,
mp-2388,B1--NaCl--rock-salt
mp-2439,
mp-2454,
mp-2469,B3--ZnS--cubic-zinc-blende
mp-2481,
mp-2500,
mp-2542,
mp-2559,B1--NaCl--rock-salt
mp-2591,
mp-2593,L1_2--AuCu3
mp-2629,
mp-2657,
mp-2658,B2--CsCl
mp-2664,B1--NaCl--rock-salt
mp-2691,B3--ZnS--cubic-zinc-blende
mp-2716,
mp-2717,
mp-2721,
mp-2730,B3--ZnS--cubic-zinc-blende
mp-2794,
mp-2824,
mp-2856,
mp-3034,
mp-3833,
mp-4499,
mp-4689,
mp-6985,A1--Cu--fcc
mp-6986,A1--Cu--fcc
mp-7062,
mp-7163,A1--Cu--fcc
mp-7189,
mp-7226,multiple
mp-7245,
mp-7599,
mp-7711,
mp-7755,Ah--alpha-Po--sc
mp-8057,
mp-8222,B3--ZnS--cubic-zinc-blende
mp-8566,A3'--alpha-La--double-hcp
mp-8632,A1--Cu--fcc
mp-8633,A1--Cu--fcc
mp-8634,A1--Cu--fcc
mp-8635,A1--Cu--fcc
mp-8636,A1--Cu--fcc
mp-8637,A1--Cu--fcc
mp-8639,A1--Cu--fcc
mp-8641,A1--Cu--fcc
mp-8642,A1--Cu--fcc
mp-8884,
mp-9173,
mp-9252,
mp-9281,
mp-9890,
mp-9924,
mp-9946,
mp-10024,A2--W--bcc
mp-10157,A1--Cu--fcc
mp-10172,A3--Mg--hcp
mp-10173,A3--Mg--hcp
mp-10257,A3--Mg--hcp
mp-10281,
mp-10390,
mp-10597,A3--Mg--hcp
mp-10649,A3--Mg--hcp
mp-10654,Ah--alpha-Po--sc
mp-10688,B1--NaCl--rock-salt
mp-10695,B3--ZnS--cubic-zinc-blende
mp-10721,
mp-10734,
mp-10746,
mp-10764,B1--NaCl--rock-salt
mp-10861,
mp-10869,Ah--alpha-Po--sc
mp-10886,
mp-10891,multiple
mp-10901,
mp-11221,B2--CsCl
mp-11222,L1_2--AuCu3
mp-11299,
mp-11334,multiple
mp-11446,A2--W--bcc
mp-11513,
mp-11531,
mp-11698,
mp-11725,
mp-11809,
mp-11832,A3--Mg--hcp
mp-11872,
mp-11875,
mp-12067,B2--CsCl
mp-12103,A3--Mg--hcp
mp-12205,
mp-12581,
mp-12628,
mp-12766,
mp-12771,A4--C--dc
mp-12777,multiple
mp-12779,
mp-12794,
mp-12802,
mp-12883,
mp-12957,
mp-13141,B2--CsCl
mp-13154,
mp-13456,
mp-14266,
mp-16220,
mp-16488,
mp-16511,
mp-16514,
mp-16515,
mp-16522,C1--CaF2--fluorite
mp-16523,
mp-17659,
mp-18257,
mp-18377,
mp-18427,
mp-18708,
mp-19800,
mp-20027,
mp-20066,
mp-20169,
mp-20194,C1--CaF2--fluorite
mp-20372,A3'--alpha-La--double-hcp
mp-20483,A1--Cu--fcc
mp-20736,A3--Mg--hcp
mp-20738,
mp-20745,A3--Mg--hcp
mp-20868,
mp-20885,
mp-20994,
mp-21377,A1--Cu--fcc
mp-21612,
mp-21717,
mp-22387,
mp-22692,A2--W--bcc
mp-22787,
mp-23156,A3--Mg--hcp
mp-23158,A2--W--bcc
mp-23680,
mp-23683,
mp-23907,A3--Mg--hcp
mp-23933,
mp-23939,
mp-24043,
mp-24289,B1--NaCl--rock-salt
mp-24504,
mp-24719,B1--NaCl--rock-salt
mp-25262,
mp-25433,
mp-27164,
mp-27273,
mp-27819,
mp-27873,
mp-27919,
mp-28015,
mp-29066,
mp-29110,
mp-29111,
mp-29727,
mp-30168,
mp-30178,
mp-30184,
mp-30260,
mp-30488,
mp-30524,
mp-30526,
mp-30603,
mp-30751,
mp-30789,
mp-30814,
mp-31138,
mp-31184,
mp-31403,
mp-31404,
mp-31405,
mp-32544,
mp-32590,
mp-32613,
mp-32641,B1--NaCl--rock-salt
mp-32742,
mp-32813,
mp-32854,
mp-32899,
mp-32959,
mp-34688,
mp-38238,
mp-505229,
mp-505619,
mp-510623,
mp-541441,
mp-542313,
mp-542461,
mp-542605,
mp-542854,
mp-542909,
mp-542915,
mp-543011,
mp-546190,
mp-553432,
mp-553880,
mp-553916,
mp-554004,
mp-554032,
mp-554098,
mp-554115,
mp-554253,
mp-554278,
mp-554405,
mp-554503,
mp-554608,
mp-554630,
mp-554681,
mp-554713,
mp-554820,
mp-554829,
mp-554867,
mp-554889,
mp-554961,
mp-554986,
mp-554999,
mp-555079,
mp-555128,
mp-555151,
mp-555214,
mp-555280,
mp-555311,
mp-555381,
mp-555410,
mp-555543,
mp-555583,
mp-555594,
mp-555628,
mp-555664,
mp-555666,
mp-555711,
mp-555760,
mp-555763,
mp-555773,
mp-555779,
mp-555782,
mp-555858,
mp-555915,
mp-556000,
mp-556005,
mp-556034,
mp-556105,
mp-556152,
mp-556155,
mp-556161,
mp-556207,
mp-556269,
mp-556280,
mp-556363,
mp-556392,
mp-556395,
mp-556448,
mp-556468,
mp-556480,
mp-556485,
mp-556543,
mp-556576,
mp-556660,
mp-556716,
mp-556724,
mp-556732,
mp-556754,
mp-556775,
mp-556784,
mp-556815,
mp-556950,
mp-556989,
mp-557009,
mp-557026,
mp-557031,
mp-557054,
mp-557058,
mp-557062,
mp-557082,
mp-557142,
mp-557151,
mp-557175,
mp-557308,
mp-557346,
mp-557376,
mp-557418,
mp-557488,
mp-557559,
mp-557812,
mp-557869,
mp-558014,
mp-558226,
mp-558412,
mp-558819,
mp-558958,
mp-558964,
mp-559232,
mp-559964,
mp-560588,
mp-560602,
mp-560725,
mp-561002,
mp-561118,
mp-561149,
mp-561196,
mp-561258,
mp-561286,
mp-561370,
mp-561513,
mp-561848,
mp-565700,
mp-567313,
mp-567332,
mp-567337,
mp-567653,
mp-567705,
mp-567772,
mp-568028,
mp-568106,
mp-568286,
mp-568306,
mp-568328,
mp-568345,Ah--alpha-Po--sc
mp-568348,
mp-568410,
mp-568503,
mp-568584,
mp-568806,
mp-569289,A6--In--bct
mp-569304,
mp-569360,
mp-569416,
mp-569517,
mp-569567,
mp-569679,
mp-569688,
mp-569744,
mp-569794,
mp-570001,
mp-570002,
mp-570130,
mp-570459,
mp-570481,
mp-570510,A3--Mg--hcp
mp-570553,
mp-570657,
mp-570747,
mp-570752,A3--Mg--hcp
mp-571195,
mp-571249,
mp-571315,
mp-571520,
mp-572822,
mp-573579,
mp-573691,
mp-574122,
mp-579909,
mp-580287,L1_2--AuCu3
mp-581258,
mp-581405,
mp-581412,
mp-581425,
mp-581476,
mp-581601,
mp-581602,
mp-582680,
mp-582681,
mp-583072,
mp-583800,
mp-603334,
mp-603347,
mp-604313,
mp-604318,A3'--alpha-La--double-hcp
mp-604321,A3'--alpha-La--double-hcp
mp-604325,
mp-604573,
mp-605663,
mp-606949,
mp-607540,
mp-608100,
mp-608468,
mp-610917,A7--alpha-As
mp-611219,
mp-611426,
mp-611448,
mp-611517,A1--Cu--fcc
mp-611836,
mp-613523,
mp-614456,A1--Cu--fcc
mp-616440,
mp-622209,
mp-624688,
mp-624889,
mp-625082,
mp-625104,
mp-630227,
mp-632172,
mp-632250,A2--W--bcc
mp-632291,
mp-632329,
mp-634659,A1--Cu--fcc
mp-634812,
mp-636525,
mp-636827,
mp-639727,A3'--alpha-La--double-hcp
mp-639736,
mp-639755,A6--In--bct
mp-640189,
mp-640416,
mp-644607,
mp-644693,
mp-645339,
mp-647075,
mp-655141,
mp-655656,
mp-656615,
mp-656850,
mp-656852,
mp-667273,
mp-669382,
mp-669546,
mp-669699,
mp-672232,multiple
mp-672233,
mp-672234,
mp-672241,
mp-673643,
mp-673658,
mp-673667,
mp-673681,
mp-674158,A1--Cu--fcc
mp-675395,
mp-675784,
mp-676011,
mp-676422,
mp-680085,
mp-680087,
mp-680372,
mp-680568,
mp-680655,
mp-683919,
mp-683983,
mp-684594,
mp-684627,
mp-684673,A1--Cu--fcc
mp-684678,
mp-684704,
mp-684733,
mp-684897,
mp-684943,
mp-684958,
mp-685006,
mp-685146,
mp-685151,
mp-696717,
mp-696735,
mp-697085,
mp-697111,
mp-697196,
mp-703459,
mp-707412,
mp-707910,
mp-752989,
mp-753304,
mp-753593,
mp-753890,
mp-754333,A3'--alpha-La--double-hcp
mp-754338,
mp-754382,
mp-754417,
mp-754514,
mp-754672,
mp-754769,
mp-755264,
mp-755300,
mp-755875,
mp-756587,
mp-756655,
mp-758104,
mp-759754,
mp-759920,
mp-760075,
mp-760323,
mp-760747,
mp-766454,
mp-771241,
mp-775938,
mp-776456,
mp-776655,
mp-777129,
mp-778663,
mp-779692,
mp-780772,
mp-784631,
mp-849326,
mp-849533,
mp-850274,
mp-864900,
mp-865014,
mp-866134,multiple
mp-867126,
mp-867303,L1_2--AuCu3
mp-867317,
mp-867870,
mp-867878,multiple
mp-937760,
mp-949029,multiple
mp-971661,
mp-971662,
mp-971712,
mp-971757,multiple
mp-971767,
mp-971803,L1_2--AuCu3
mp-971837,
mp-972095,
mp-972256,
mp-972828,
mp-972868,
mp-972916,
mp-972981,
mp-973149,multiple
mp-973198,
mp-973364,A3'--alpha-La--double-hcp
mp-973676,
mp-973783,
mp-973895,multiple
mp-973916,
mp-973963,
mp-974408,
mp-974416,
mp-974558,A1--Cu--fcc
mp-974620,multiple
mp-974920,A6--In--bct
mp-975065,
mp-975129,A3--Mg--hcp
mp-975204,
mp-975272,
mp-975519,A6--In--bct
mp-976411,A3'--alpha-La--double-hcp
mp-976948,
mp-978271,L1_2--AuCu3
mp-978279,
mp-978951,
mp-978968,
mp-979266,
mp-979285,A2--W--bcc
mp-979286,
mp-979919,
mp-980945,L1_2--AuCu3
mp-981200,
mp-981209,L1_2--AuCu3
mp-981232,
mp-981379,
mp-982370,A3'--alpha-La--double-hcp
mp-982778,
mp-982872,
mp-983407,
mp-984351,
mp-984873,
mp-985287,
mp-985296,
mp-985578,
mp-985579,
mp-985782,
mp-985806,
mp-985825,
mp-989695,A3'--alpha-La--double-hcp
mp-989737,
mp-989782,A3--Mg--hcp
mp-990424,
mp-990441,
mp-990448,
mp-994911,
mp-995183,
mp-995184,
mp-995195,
mp-995196,
mp-995197,
mp-995198,
mp-995200,
mp-995202,
mp-995204,
mp-995206,
mp-995217,
mp-995218,
mp-995219,
mp-995220,
mp-995224,
mp-995226,
mp-995234,
mp-995393,
mp-997182,
mp-998860,A2--W--bcc
mp-998866,Ah--alpha-Po--sc
mp-998881,
mp-998890,A2--W--bcc
mp-998945,
mp-998981,L1_2--AuCu3
mp-999027,multiple
mp-999188,L1_2--AuCu3
mp-999189,L1_2--AuCu3
mp-999200,
mp-999378,multiple
mp-999394,
mp-999396,multiple
mp-999437,L1_2--AuCu3
mp-999498,
mp-999501,A3'--alpha-La--double-hcp
mp-1001011,
mp-1001080,
mp-1001113,
mp-1001570,
mp-1001594,
mp-1006883,B2--CsCl
mp-1007761,A3'--alpha-La--double-hcp
mp-1007853,multiple
mp-1007854,multiple
mp-1007855,
mp-1007862,
mp-1007923,
mp-1007974,L1_2--AuCu3
mp-1007975,multiple
mp-1007976,
mp-1008275,multiple
mp-1008278,L1_2--AuCu3
mp-1008282,multiple
mp-1008284,
mp-1008285,L1_2--AuCu3
mp-1008349,L1_2--AuCu3
mp-1008374,
mp-1008395,
mp-1008471,
mp-1008501,
mp-1008555,L1_2--AuCu3
mp-1008634,A3--Mg--hcp
mp-1008669,A1--Cu--fcc
mp-1008677,C1--CaF2--fluorite
mp-1008728,A2--W--bcc
mp-1008753,
mp-1009490,
mp-1009757,
mp-1010136,A6--In--bct
mp-1012110,
mp-1014013,
mp-1014111,
mp-1014212,A2--W--bcc
mp-1017511,
mp-1017534,
mp-1017981,A2--W--bcc
mp-1018045,
mp-1018067,multiple
mp-1018081,L1_2--AuCu3
mp-1018088,
mp-1018101,L1_2--AuCu3
mp-1018134,
mp-1018659,
mp-1018664,
mp-1018722,
mp-1018796,
mp-1021328,
mp-1021511,
mp-1021666,B2--CsCl
mp-1022721,B2--CsCl
mp-1023923,
mp-1025044,
mp-1025126,
mp-1040425,
mvc-379,
mvc-388,
mvc-1923,
mvc-2169,
mvc-4415,
mvc-4715,
mvc-5171,
mvc-6590,
mvc-8453,
mvc-9726,
mvc-11115,
mvc-11423,
mvc-11500,
mvc-11600,
mvc-11912,
mvc-12404,
mvc-12466,
mvc-12939,
mvc-13391,
mvc-13894,
oqmd-1933,
oqmd-2065,
oqmd-2172,
oqmd-2190,
oqmd-2288,
oqmd-2392,
oqmd-2408,
oqmd-2461,
oqmd-2472,
oqmd-2475,
oqmd-2575,
oqmd-2782,
oqmd-2958,
oqmd-3046,
oqmd-3070,
oqmd-3113,
oqmd-3167,
oqmd-3213,
oqmd-3214,
oqmd-3230,
oqmd-3447,
oqmd-3448,
oqmd-3484,
oqmd-3494,
oqmd-3661,
oqmd-3721,
oqmd-3747,
oqmd-3785,
oqmd-3786,
oqmd-3884,
oqmd-3889,
oqmd-3971,
oqmd-4177,A1--Cu--fcc
oqmd-4353,
oqmd-4367,
oqmd-4437,
oqmd-4568,B1--NaCl--rock-salt
oqmd-4569,C1--CaF2--fluorite
oqmd-4722,
oqmd-4723,
oqmd-4724,
oqmd-5012,
oqmd-5037,
oqmd-5286,
oqmd-5346,
oqmd-5373,
oqmd-5498,
oqmd-5499,A1--Cu--fcc
oqmd-5506,
oqmd-5517,A2--W--bcc
oqmd-5539,
oqmd-5708,
oqmd-5714,A4--C--dc
oqmd-5764,
oqmd-5776,
oqmd-5979,
oqmd-6508,
oqmd-6515,
oqmd-6628,B3--ZnS--cubic-zinc-blende
oqmd-6672,
oqmd-6967,
oqmd-6968,
oqmd-7239,
oqmd-7241,L1_2--AuCu3
oqmd-7246,L1_2--AuCu3
oqmd-7247,A3--Mg--hcp
oqmd-7248,A3--Mg--hcp
oqmd-7364,
oqmd-7386,
oqmd-7408,
oqmd-7500,
oqmd-7503,A1--Cu--fcc
oqmd-7505,A1--Cu--fcc
oqmd-7509,A1--Cu--fcc
oqmd-7513,A1--Cu--fcc
oqmd-7517,A1--Cu--fcc
oqmd-7519,A1--Cu--fcc
oqmd-7522,A1--Cu--fcc
oqmd-7587,
oqmd-7748,
oqmd-7808,
oqmd-7874,
oqmd-7999,
oqmd-8020,
oqmd-8062,
oqmd-8079,A3--Mg--hcp
oqmd-8082,A2--W--bcc
oqmd-8084,A2--W--bcc
oqmd-8085,A3--Mg--hcp
oqmd-8088,A7--alpha-As
oqmd-8100,A1--Cu--fcc
oqmd-8207,
oqmd-8390,A2--W--bcc
oqmd-8391,A2--W--bcc
oqmd-8392,
oqmd-8500,A2--W--bcc
oqmd-8533,A2--W--bcc
oqmd-8534,A2--W--bcc
oqmd-8535,A3--Mg--hcp
oqmd-8568,A2--W--bcc
oqmd-8597,A2--W--bcc
oqmd-9092,
oqmd-9226,A3--Mg--hcp
oqmd-9254,multiple
oqmd-9287,A1--Cu--fcc
oqmd-9288,A3--Mg--hcp
oqmd-9295,A3--Mg--hcp
oqmd-9301,A1--Cu--fcc
oqmd-9302,
oqmd-9303,
oqmd-9315,
oqmd-9320,A2--W--bcc
oqmd-9540,A7--alpha-As
oqmd-9752,
oqmd-9753,
oqmd-10077,B1--NaCl--rock-salt
oqmd-10123,L1_2--AuCu3
oqmd-10125,A3--Mg--hcp
oqmd-10207,
oqmd-10215,
oqmd-10260,
oqmd-10411,B2--CsCl
oqmd-10412,
oqmd-10431,
oqmd-10460,
oqmd-10461,multiple
oqmd-10496,
oqmd-10498,
oqmd-10499,
oqmd-10501,multiple
oqmd-10517,
oqmd-10518,
oqmd-10519,
oqmd-10542,B2--CsCl
oqmd-10543,L1_2--AuCu3
oqmd-10549,
oqmd-10550,B2--CsCl
oqmd-10551,
oqmd-10552,
oqmd-10553,C1--CaF2--fluorite
oqmd-10554,
oqmd-10555,
oqmd-10582,
oqmd-10598,
oqmd-10602,L1_2--AuCu3
oqmd-10713,
oqmd-11337,
oqmd-11517,B1--NaCl--rock-salt
oqmd-11535,
oqmd-11536,
oqmd-11544,
oqmd-11876,A3'--alpha-La--double-hcp
oqmd-11969,
oqmd-12464,
oqmd-13527,
oqmd-13645,
oqmd-13648,
oqmd-13766,
oqmd-13851,
oqmd-13852,
oqmd-13862,A1--Cu--fcc
oqmd-13999,
oqmd-15703,
oqmd-15704,
oqmd-15748,
oqmd-15943,
oqmd-15976,
oqmd-15977,
oqmd-16142,
oqmd-16412,
oqmd-16428,
oqmd-16544,
oqmd-16591,
oqmd-16720,Ah--alpha-Po--sc
oqmd-17177,
oqmd-17225,L1_0--AuCu
oqmd-17349,A3--Mg--hcp
oqmd-17350,A2--W--bcc
oqmd-17585,A2--W--bcc
oqmd-17676,L1_0--AuCu
oqmd-17678,
oqmd-17717,
oqmd-17735,
oqmd-17737,
oqmd-17840,
oqmd-17864,
oqmd-17866,
oqmd-17867,
oqmd-17869,
oqmd-17890,L1_2--AuCu3
oqmd-17898,B1--NaCl--rock-salt
oqmd-18195,
oqmd-18196,
oqmd-18476,
oqmd-18487,
oqmd-18555,
oqmd-18664,
oqmd-18699,
oqmd-18721,L1_0--AuCu
oqmd-18722,
oqmd-18968,
oqmd-18969,
oqmd-18970,
oqmd-18972,A5--beta-Sn
oqmd-18973,
oqmd-18979,A5--beta-Sn
oqmd-18984,
oqmd-19163,
oqmd-19362,
oqmd-19363,
oqmd-19370,
oqmd-19371,
oqmd-19408,multiple
oqmd-19426,
oqmd-19463,
oqmd-19477,
oqmd-19517,
oqmd-19518,
oqmd-19782,
oqmd-19809,
oqmd-19840,
oqmd-20016,
oqmd-20034,
oqmd-20089,Ah--alpha-Po--sc
oqmd-20090,
oqmd-20106,
oqmd-20238,
oqmd-20302,
oqmd-20426,
oqmd-20427,A5--beta-Sn
oqmd-20428,
oqmd-20430,A3'--alpha-La--double-hcp
oqmd-20433,
oqmd-20513,
oqmd-20542,
oqmd-20737,B3--ZnS--cubic-zinc-blende
oqmd-20846,
oqmd-20874,
oqmd-21053,
oqmd-21103,
oqmd-21273,
oqmd-21316,L1_2--AuCu3
oqmd-21378,
oqmd-21471,
oqmd-21530,
oqmd-21566,
oqmd-21731,
oqmd-22234,
oqmd-22309,A1--Cu--fcc
oqmd-22372,multiple
oqmd-22407,
oqmd-22408,
oqmd-22409,L1_2--AuCu3
oqmd-22454,B1--NaCl--rock-salt
oqmd-22487,
oqmd-22498,A3'--alpha-La--double-hcp
oqmd-22516,A2--W--bcc
oqmd-22603,
oqmd-22936,
oqmd-23083,
oqmd-23084,
oqmd-23087,
oqmd-23315,
oqmd-23456,
oqmd-23517,
oqmd-24180,
oqmd-24181,
oqmd-24290,
oqmd-24584,
oqmd-24762,
oqmd-24787,
oqmd-24931,
oqmd-26737,
oqmd-27238,
oqmd-27724,
oqmd-27782,
oqmd-27783,
oqmd-27873,
oqmd-27874,
oqmd-27876,
oqmd-27877,L1_0--AuCu
oqmd-27878,
oqmd-27902,multiple
oqmd-27961,
oqmd-29835,
oqmd-30264,B2--CsCl
oqmd-30265,
oqmd-30266,
oqmd-30508,B1--NaCl--rock-salt
oqmd-30638,
oqmd-30676,
oqmd-30774,A3--Mg--hcp
oqmd-30779,
oqmd-30781,
oqmd-30782,
oqmd-31162,
oqmd-31247,
oqmd-31283,L1_0--AuCu
oqmd-31414,
oqmd-31462,
oqmd-31546,
oqmd-31630,
oqmd-31714,
oqmd-31750,A3--Mg--hcp
oqmd-39168,
oqmd-40867,A3--Mg--hcp
oqmd-40937,
oqmd-41734,
oqmd-42164,
oqmd-43771,
oqmd-47818,
oqmd-49065,
oqmd-51781,A3--Mg--hcp
oqmd-52301,
oqmd-52302,
oqmd-54708,B2--CsCl
oqmd-57238,
oqmd-57240,
oqmd-57242,
oqmd-57244,
oqmd-66123,
oqmd-67408,A3--Mg--hcp
oqmd-78173,
oqmd-78174,
oqmd-82346,
oqmd-84685,
oqmd-87089,
oqmd-90200,B2--CsCl
oqmd-94913,B2--CsCl
oqmd-100324,
oqmd-103369,
oqmd-103847,
oqmd-107703,
oqmd-108020,
oqmd-109113,
oqmd-109114,
oqmd-114511,
oqmd-116222,B2--CsCl
oqmd-116608,B2--CsCl
oqmd-117322,
oqmd-117323,
oqmd-123350,
oqmd-297488,
oqmd-297529,
oqmd-297560,
oqmd-297567,
oqmd-297657,
oqmd-297717,
oqmd-297830,
oqmd-297859,
oqmd-297990,
oqmd-298065,
oqmd-298067,
oqmd-298224,
oqmd-298359,
oqmd-298390,
oqmd-298471,
oqmd-298554,
oqmd-298564,
oqmd-298655,
oqmd-298701,
oqmd-298866,
oqmd-298869,
oqmd-298875,
oqmd-298941,
oqmd-299239,
oqmd-299242,
oqmd-299290,
oqmd-299318,
oqmd-299431,
oqmd-299450,
oqmd-299460,
oqmd-299558,
oqmd-299625,
oqmd-299722,
oqmd-299733,
oqmd-299961,
oqmd-300016,
oqmd-300138,
oqmd-300174,
oqmd-300292,
oqmd-300312,
oqmd-300341,
oqmd-300376,
oqmd-300421,
oqmd-300442,
oqmd-300451,
oqmd-300681,
oqmd-300779,
oqmd-300811,
oqmd-300866,
oqmd-300878,
oqmd-300994,
oqmd-301046,
oqmd-301102,
oqmd-301128,
oqmd-301185,
oqmd-301302,
oqmd-301308,
oqmd-301423,
oqmd-301480,
oqmd-301533,
oqmd-301553,
oqmd-301693,
oqmd-301724,
oqmd-301921,
oqmd-301923,
oqmd-301943,
oqmd-301985,
oqmd-301986,
oqmd-302029,
oqmd-302210,
oqmd-302324,
oqmd-302399,
oqmd-302536,
oqmd-302544,
oqmd-302557,
oqmd-302615,
oqmd-302644,
oqmd-302733,
oqmd-302756,
oqmd-302796,
oqmd-302812,
oqmd-302817,
oqmd-302949,
oqmd-303047,
oqmd-303059,
oqmd-303253,
oqmd-303300,
oqmd-303422,
oqmd-303592,
oqmd-303630,
oqmd-303676,
oqmd-303718,
oqmd-303985,
oqmd-304072,
oqmd-304102,
oqmd-304243,
oqmd-304254,
oqmd-304328,
oqmd-304341,
oqmd-304353,
oqmd-304505,B2--CsCl
oqmd-304574,B2--CsCl
oqmd-304629,B2--CsCl
oqmd-304642,B2--CsCl
oqmd-304739,B2--CsCl
oqmd-304812,B2--CsCl
oqmd-304878,B2--CsCl
oqmd-305408,B2--CsCl
oqmd-305426,B2--CsCl
oqmd-305481,B2--CsCl
oqmd-305507,B2--CsCl
oqmd-305559,B2--CsCl
oqmd-305561,B2--CsCl
oqmd-305696,B2--CsCl
oqmd-305782,B2--CsCl
oqmd-305856,B2--CsCl
oqmd-305875,B2--CsCl
oqmd-305893,B2--CsCl
oqmd-305920,B2--CsCl
oqmd-306141,B2--CsCl
oqmd-306352,B2--CsCl
oqmd-306404,B2--CsCl
oqmd-306427,B2--CsCl
oqmd-306449,B2--CsCl
oqmd-306459,B2--CsCl
oqmd-306497,B2--CsCl
oqmd-306539,B2--CsCl
oqmd-306651,B2--CsCl
oqmd-306682,B2--CsCl
oqmd-306683,B2--CsCl
oqmd-306955,B2--CsCl
oqmd-306963,B2--CsCl
oqmd-306997,B2--CsCl
oqmd-307075,B2--CsCl
oqmd-307095,B2--CsCl
oqmd-307101,B2--CsCl
oqmd-307103,B2--CsCl
oqmd-307218,B2--CsCl
oqmd-307336,B2--CsCl
oqmd-307425,B2--CsCl
