calc_key,potential_LAMMPS_key,potential_LAMMPS_id,potential_key,potential_id,composition,prototype,family,method,transformed,E_coh,a,b,c,alpha,beta,gamma
c609fc06-140e-4618-8c99-e8bc7e42863a,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu,A1--Cu--fcc,A1--Cu--fcc,dynamic,FALSE,-3.540000003,3.614999885,3.614999885,3.614999885,90,90,90
a9c58255-ce21-4ea2-b0e8-42745459fe40,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu,A15--beta-W,A15--beta-W,dynamic,FALSE,-3.457837155,4.588822458,4.588822458,4.588822458,90,90,90
d5254d4b-7495-47ef-ab66-cc91fdc5b34c,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu,A2--W--bcc,A2--W--bcc,static,FALSE,-3.510146498,2.871623952,2.871623952,2.871623952,90,90,90
0937478a-ed8d-4f78-92f9-fa012603bb81,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu,A3'--alpha-La--double-hcp,A3'--alpha-La--double-hcp,dynamic,FALSE,-3.538797493,2.556501181,2.556501181,8.338002094,90,90,120
5148a1ed-36b9-4807-a52c-7c06ce8609c3,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu,A3--Mg--hcp,A3--Mg--hcp,dynamic,FALSE,-3.537619937,2.556820566,2.556820566,4.163712131,90,90,120
8d8b8cba-b475-4812-a582-9465876c0954,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu,A4--C--dc,A4--C--dc,static,FALSE,-2.502543986,5.361340909,5.361340909,5.361340909,90,90,90
cb957bb5-48e7-4124-9389-bd315f36a9de,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu,A5--beta-Sn,A5--beta-Sn,static,FALSE,-3.242209549,4.61614192,4.61614192,2.435015444,90,90,90
5694fb17-d538-4c9d-a5ec-551d2d22f2e1,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu,A7--alpha-As,A7--alpha-As,static,FALSE,-3.431468328,4.018203925,4.018203925,5.174064809,90,90,120
9aa3b396-edfb-4e61-ad9c-016434c3c894,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu,Ah--alpha-Po--sc,Ah--alpha-Po--sc,static,FALSE,-3.111667435,2.393157613,2.393157613,2.393157613,90,90,90
b5ba70ba-fb5f-47b4-8dba-c0651b19cc55,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu,mp-1010136,mp-1010136,static,FALSE,-3.510160133,2.893141848,2.893141848,2.829177167,90,90,90
9038a41e-2e51-4483-91a8-f883a417db09,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu,mp-1056079,mp-1056079,static,FALSE,-1.716245947,11.84289481,2.256914289,22.74757647,90,101.9359187,90
65900263-eaf1-49da-81ab-cae446183efb,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu,mp-1059259,mp-1059259,box,FALSE,-3.404360355,8.044746165,2.455169882,2.513834439,90,90,90
44e8ac8b-7c81-49dc-af19-33aa63920569,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu,oqmd-1214609,oqmd-1214609,static,FALSE,-3.51261706,2.608277911,2.608277911,5.885687716,90,90,120
21339dff-4a40-4a54-9cea-31d737ac4561,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu,oqmd-1214698,oqmd-1214698,static,FALSE,-3.337088631,2.794754717,9.015076539,4.076860955,90,90,90
304f8759-eccf-4f69-83bb-6dd17740cd15,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu,oqmd-1214698,oqmd-1214698,box,FALSE,-3.31044506,3.483910591,8.597714452,3.484958692,90,90,90
b3117f52-1d5b-4cd8-b507-89c008f68a4b,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu,oqmd-1214787,oqmd-1214787,dynamic,FALSE,-3.475194247,8.871964101,8.871964101,8.871964101,90,90,90
d1810e7e-7a17-432d-af0c-3494beef9cf9,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu,oqmd-1214876,oqmd-1214876,dynamic,FALSE,-3.480540372,6.232010908,6.232010908,6.232010908,90,90,90
98cefb37-d9c2-453c-9a9b-b049e33d8532,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu,oqmd-1214876,oqmd-1214876,box,FALSE,-3.480431988,6.231485234,6.231485234,6.231485234,90,90,90
21996a87-7f01-4d89-b31b-fdb5b78e5f7a,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu,oqmd-1215054,oqmd-1215054,static,FALSE,-3.386490191,4.147436119,8.989370036,2.665239865,90,90,90
b5f4127a-f994-4c8a-9b0e-47290c1dbc71,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu,oqmd-1215054,oqmd-1215054,box,FALSE,-3.392060003,4.258540636,9.072187141,2.579584709,90,90,90
e93a3c17-4579-4d08-a305-d9c0cb294f78,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu,oqmd-1215232,oqmd-1215232,static,FALSE,-3.530813983,2.475,4.523383628,4.147257072,90,90,90
c48db3f6-753b-4656-97ad-ec9628475703,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu,oqmd-1215232,oqmd-1215232,box,FALSE,-3.537245151,2.546788024,4.445735486,4.164312611,90,90,90
7f106449-1138-4fec-8706-231d494d504b,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu,oqmd-1215856,oqmd-1215856,static,FALSE,-3.509046668,4.034196246,4.034196246,2.510886498,90,90,120
98449ee8-60a0-40fc-88f5-3f3a827b684f,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu,oqmd-1216034,oqmd-1216034,dynamic,FALSE,-3.538404858,2.556600864,2.556600864,18.75277561,90,90,120
fb71a6bc-87c3-4aab-b77b-9322e4b1ea5a,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu,oqmd-1216034,oqmd-1216034,static,FALSE,-3.538404859,2.556607532,2.556607532,18.75257035,90,90,120
c4078a95-81be-4580-b7cb-3d5fff14556f,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu2Ni,C1--CaF2--fluorite,C1--CaF2--fluorite,static,FALSE,-3.32330974,5.628956578,5.628956578,5.628956578,90,90,90
04ac7c05-0cff-41e9-8ee6-d7f7ea509489,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu2Ni,oqmd-1232654,oqmd-1232654,static,FALSE,-2.979206794,5.123924458,5.123924458,4.023830627,90,90,90
9146e734-95fd-4fef-8914-b1de3811bfe4,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu2Ni,oqmd-1232654,oqmd-1232654,box,FALSE,-2.979203904,5.120965693,5.120965693,4.026971757,90,90,90
0ed9e52a-e14b-4739-a29d-71d25ecc4e37,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu3Ni,A15--Cr3Si,A15--Cr3Si,dynamic,FALSE,-3.652451181,4.600946662,4.600946662,4.600946662,90,90,90
ff7aeec4-18d9-4f44-93cb-2326b15813e2,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu3Ni,D0_3--BiF3,D0_3--BiF3,static,FALSE,-3.700103382,5.753843628,5.753843628,5.753843628,90,90,90
3c8c00ed-832b-4054-9bb8-afab565a0b57,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu3Ni,L1_2--AuCu3,L1_2--AuCu3,dynamic,FALSE,-3.735463159,3.622943343,3.622943343,3.622943343,90,90,90
e2a2de63-4af2-4f78-99ec-bd68ecad0fcc,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu3Ni,oqmd-302756,oqmd-302756,dynamic,FALSE,-3.735642553,3.623232594,3.623232594,7.245404127,90,90,90
08c640f2-ff9d-43ee-9d87-3b226a64fd3d,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu3Ni,oqmd-313298,oqmd-313298,static,FALSE,-3.698072153,5.715767665,5.715767665,5.715767665,90,90,90
23d26464-01fc-47ad-a664-e07ac868aab2,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,Cu3Ni,oqmd-321045,oqmd-321045,dynamic,FALSE,-3.732644931,5.124358585,5.124358585,4.180078816,90,90,120
8fede58d-1115-4c7a-837c-70d8fd8bb2a6,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,CuNi,B1--NaCl--rock-salt,B1--NaCl--rock-salt,static,FALSE,-3.34549178,4.827769699,4.827769699,4.827769699,90,90,90
e0076a6f-6341-47a0-b349-ca82c3f757cd,062d2ba7-3903-40ae-a772-daa471d107c6,1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,301f04ce-9082-4542-8590-489300cd19e8,1985--Foiles-S-M--Ni-Cu,CuNi,B2--CsCl,B2--CsCl,static,FALSE,-3.863418428,2.863773244,2.863773244,2.863773244,90,90,90
