potential_LAMMPS_id,composition,Tmelt TI,alat,Tguess,Tmelt MD,Tmelt MD stderr,Notes
1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,Cu,1250,3.71,1215,1250.689184,0.888846889,
1985--Foiles-S-M--Ni-Cu--LAMMPS--ipr1,Ni,1817,3.63,1740,1817.645306,1.161075881,
1986--Foiles-S-M--Ag--LAMMPS--ipr1,Ag,1140,4.21,1135,1144.525533,0.794012703,
1986--Foiles-S-M--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Ag,1142,4.21,1740,1144.525533,0.794012703,
1986--Foiles-S-M--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Au,1110,4.14,1100,1104.601037,1.905596327,
1986--Foiles-S-M--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Cu,1284,3.71,1245,1279.718716,0.996616606,
1986--Foiles-S-M--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Ni,1710,3.63,1625,1708.216199,1.461698476,
1986--Foiles-S-M--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Pd,1423,3.96,1385,1422.513158,1.73706931,
1986--Foiles-S-M--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Pt,1533,3.98,1510,1534.069802,1.064292071,
1986--Foiles-S-M--Au--LAMMPS--ipr1,Au,1108,4.15,1140,1104.601037,1.905596327,
1986--Foiles-S-M--Cu--LAMMPS--ipr1,Cu,1299,3.71,1245,1279.718716,0.996616606,
1986--Foiles-S-M--Ni--LAMMPS--ipr1,Ni,1709,3.63,1625,1708.216199,1.461698476,
1986--Foiles-S-M--Pd--LAMMPS--ipr1,Pd,1421,3.96,1385,1422.513158,1.73706931,
1986--Foiles-S-M--Pt--LAMMPS--ipr1,Pt,1531,3.98,1510,1534.069802,1.064292071,
1987--Ackland-G-J--Ag--LAMMPS--ipr1,Ag,1463,4.21,1450,1462.837189,0.864876133,
1987--Ackland-G-J--Ag--LAMMPS--ipr2,Ag,1457,4.22,1450,1463.125711,1.795256384,
1987--Ackland-G-J--Au--LAMMPS--ipr1,Au,1417,4.23,1390,1415.149278,0.919834457,
1987--Ackland-G-J--Au--LAMMPS--ipr2,Au,1422,4.23,1360,1413.334057,0.90694634,
1987--Ackland-G-J--Cu--LAMMPS--ipr1,Cu,1492,3.74,1425,NA,NA,
1987--Ackland-G-J--Cu--LAMMPS--ipr2,Cu,NA,3.69,1220,1270.639315,7.995458,Poor convergence
1987--Ackland-G-J--Mo--LAMMPS--ipr1,Mo,data,,,NA,NA,
1987--Ackland-G-J--Ni--LAMMPS--ipr1,Ni,1265,3.61,1245,1262.180339,0.640544937,
1987--Ackland-G-J--Ni--LAMMPS--ipr2,Ni,1403,3.7,1365,1400.629992,0.705558317,
1989--Adams-J-B--Ag--LAMMPS--ipr1,Ag,1137,4.21,1150,1144.533992,0.855137589,
1989--Adams-J-B--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Ag,1141,4.21,1150,1144.533992,0.855137589,
1989--Adams-J-B--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Au,1122,4.14,1125,1114.519616,0.891221265,
1989--Adams-J-B--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Cu,NA,3.72,1300,1313.534108,0.783867997,
1989--Adams-J-B--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Ni,1770,3.63,1680,1766.1226,0.673763702,
1989--Adams-J-B--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Pd,1565,3.97,1550,1563.287229,1.851501086,
1989--Adams-J-B--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Pt,1607,3.98,1600,1601.117888,1.604128301,
1989--Adams-J-B--Au--LAMMPS--ipr1,Au,1119,4.14,1110,1114.519616,0.891221265,
1989--Adams-J-B--Cu--LAMMPS--ipr1,Cu,NA,3.72,1300,1313.534108,0.783867997,
1989--Adams-J-B--Ni--LAMMPS--ipr1,Ni,1768,3.63,1690,1766.1226,0.673763702,
1989--Adams-J-B--Pd--LAMMPS--ipr1,Pd,1564,3.97,1550,1563.287229,1.851501086,
1989--Adams-J-B--Pt--LAMMPS--ipr1,Pt,1609,3.98,1590,1601.117888,1.604128301,
1990--Ackland-G-J--Cu--LAMMPS--ipr2,Cu,1273,3.68,1265,1286.446769,0.983728594,
1990--Ackland-G-J--Cu-Ag-Au--LAMMPS--ipr1,Ag,data,4.2,,1463.7003,0.935260757,
1990--Ackland-G-J--Cu-Ag-Au--LAMMPS--ipr1,Au,1419,,,1410.654716,1.469181646,
1990--Ackland-G-J--Cu-Ag-Au--LAMMPS--ipr1,Cu,1310,3.64,1280,1289.557794,0.550176063,
1992--Ackland-G-J--Ti--LAMMPS--ipr1,Ti,1313,,,1311.33254,1.002382718,
