potential_LAMMPS_id,composition,a
1986--Foiles-S-M--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Au,3.2368726885729764
1986--Foiles-S-M--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Cu,2.870141737891187
1986--Foiles-S-M--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Pd,3.086859384386809
1986--Foiles-S-M--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Pt,3.1090472850294173
1986--Foiles-S-M--Au--LAMMPS--ipr1,Au,3.2368726885729764
1986--Foiles-S-M--Cu--LAMMPS--ipr1,Cu,2.870141737891187
1986--Foiles-S-M--Pd--LAMMPS--ipr1,Pd,3.086859384386809
1986--Foiles-S-M--Pt--LAMMPS--ipr1,Pt,3.1090472850294173
1987--Ackland-G-J--Ag--LAMMPS--ipr1,Ag,3.317863759493969
1987--Ackland-G-J--Ag--LAMMPS--ipr2,Ag,3.317863759497792
1987--Ackland-G-J--Au--LAMMPS--ipr1,Au,3.32444406231571
1987--Ackland-G-J--Au--LAMMPS--ipr2,Au,3.3244440623789626
1987--Ackland-G-J--Cu--LAMMPS--ipr1,Cu,2.9607087939716643
1987--Ackland-G-J--Cu--LAMMPS--ipr2,Cu,2.960523154657405
1987--Ackland-G-J--Mo--LAMMPS--ipr1,Mo,3.1576947815064127
1987--Ackland-G-J--Mo--LAMMPS--ipr2,Mo,3.1471998631873834
1987--Ackland-G-J--Mo--LAMMPS--ipr3,Mo,3.1471998631873834
1989--Adams-J-B--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Au,3.2366909449426964
1989--Adams-J-B--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Cu,2.8700796827001334
1989--Adams-J-B--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Pd,3.0870211004071577
1989--Adams-J-B--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Pt,3.1089022982152237
1989--Adams-J-B--Au--LAMMPS--ipr1,Au,3.2366909449426964
1989--Adams-J-B--Cu--LAMMPS--ipr1,Cu,2.8700796827001334
1989--Adams-J-B--Pd--LAMMPS--ipr1,Pd,3.0870211004071577
1989--Adams-J-B--Pt--LAMMPS--ipr1,Pt,3.1089022982152237
1990--Ackland-G-J--Cu--LAMMPS--ipr2,Cu,2.8381632990507484
1990--Ackland-G-J--Cu-Ag-Au--LAMMPS--ipr1,Ag,3.31786381227927
1990--Ackland-G-J--Cu-Ag-Au--LAMMPS--ipr1,Au,3.3244440623679714
1990--Ackland-G-J--Cu-Ag-Au--LAMMPS--ipr1,Cu,2.838163419784792
1995--Angelo-J-E--Ni-Al-H--LAMMPS--ipr1,Al,3.3676894871151237
1995--Angelo-J-E--Ni-Al-H--LAMMPS--ipr1,Ni,2.8659123855705837
1996--Farkas-D--Nb-Ti-Al--LAMMPS--ipr1,Nb,3.3000514686325624
1996--Farkas-D--Nb-Ti-Al--LAMMPS--ipr1,Ti,3.284096365761741
1997--Ackland-G-J--Fe--LAMMPS--ipr1,Fe,2.8664999644695683
1997--Liu-X-Y--Al-Mg--LAMMPS--ipr1,Al,8.618421331908994
1997--Liu-X-Y--Al-Mg--LAMMPS--ipr1,Mg,3.5655423237759223
1998--Liu-X-Y--Al-Mg--LAMMPS--ipr1,Al,3.130398172388
1998--Liu-X-Y--Al-Mg--LAMMPS--ipr1,Mg,3.5655424214860907
1998--Meyer-R--Fe--LAMMPS--ipr1,Fe,2.866992218380356
1999--Liu-X-Y--Al-Cu--LAMMPS--ipr1,Cu,2.8701709926642547
1999--Mishin-Y--Ni--LAMMPS--ipr1,Ni,6.0224927996037545
2000--Landa-A--Al-Pb--LAMMPS--ipr1,Pb,3.843899738704751
2000--Sturgeon-J-B--Al--LAMMPS--ipr1,Al,5.881736807597218
2003--Han-S--V--LAMMPS--ipr1,V,3.0299999301794056
2003--Han-S--W--LAMMPS--ipr1,W,3.1652000015813697
2003--Hoyt-J-J--Cu-Pb--LAMMPS--ipr1,Cu,2.8701554311011805
2003--Hoyt-J-J--Cu-Pb--LAMMPS--ipr1,Pb,3.843947656713118
2003--Li-Y-H--Ta--LAMMPS--ipr1,Ta,3.3026330180542587
2003--Mendelev-M-I--Fe-2--LAMMPS--ipr1,Fe,2.8553248608545103
2003--Mendelev-M-I--Fe-2--LAMMPS--ipr3,Fe,2.855324609117394
2003--Mendelev-M-I--Fe-5--LAMMPS--ipr1,Fe,2.8552582992041766
2003--Zope-R-R--Ti-Al--LAMMPS--ipr1,Ti,3.227462941323768
2004--Ackland-G-J--Fe-P--LAMMPS--ipr1,Fe,2.855312749000525
2004--Ackland-G-J--Fe-P--LAMMPS--ipr1,P,3.722970098939124
2004--Liu-X-Y--Al--LAMMPS--ipr1,Al,3.1304790900252146
2004--Zhou-X-W--Co--LAMMPS--ipr1,Co,2.8114151333486905
2004--Zhou-X-W--Co--LAMMPS--ipr2,Co,2.8114251925828992
2004--Zhou-X-W--Fe--LAMMPS--ipr1,Fe,2.8659480425165373
2004--Zhou-X-W--Fe--LAMMPS--ipr2,Fe,2.8659524240947785
2004--Zhou-X-W--Mo--LAMMPS--ipr1,Mo,3.1501533549786696
2004--Zhou-X-W--Mo--LAMMPS--ipr2,Mo,3.1501382855101188
2004--Zhou-X-W--Ta--LAMMPS--ipr1,Ta,3.3025311352501237
2004--Zhou-X-W--Ta--LAMMPS--ipr2,Ta,3.302538070327776
2004--Zhou-X-W--Ta-Cu--LAMMPS--ipr1,Ta,3.3025311352501237
2004--Zhou-X-W--Ta-Cu--LAMMPS--ipr2,Ta,3.302538070327776
2004--Zhou-X-W--Ti--LAMMPS--ipr1,Ti,3.291934600073711
2004--Zhou-X-W--Ti--LAMMPS--ipr2,Ti,3.2919385502938643
2004--Zhou-X-W--W--LAMMPS--ipr1,W,3.1648492024668933
2004--Zhou-X-W--W--LAMMPS--ipr2,W,3.1648494549988424
2004--Zhou-X-W--Zr--LAMMPS--ipr1,Zr,3.58967042494826
2004--Zhou-X-W--Zr--LAMMPS--ipr2,Zr,3.5896600428051593
2005--Mendelev-M-I--Al-Fe--LAMMPS--ipr1,Fe,2.8553125335170813
2006--Chamati-H--Fe--LAMMPS--ipr1,Fe,2.8665000286136166
2006--Sun-D-Y--Mg--LAMMPS--ipr1,Mg,3.56204507154364
2006--Williams-P-L--Ag--LAMMPS--ipr1,Ag,3.238594909610306
2006--Williams-P-L--Cu-Ag--LAMMPS--ipr1,Ag,3.2385949075084333
2007--Mendelev-M-I--Cu-Zr--LAMMPS--ipr1,Cu,2.894749075707002
2007--Mendelev-M-I--V-Fe--LAMMPS--ipr1,Fe,2.855312749000525
2007--Mendelev-M-I--V-Fe--LAMMPS--ipr1,V,3.029869450485052
2007--Mendelev-M-I--Zr-1--LAMMPS--ipr1,Zr,3.5925060234642694
2008--Hepburn-D-J--Fe-C--LAMMPS--ipr1,Fe,2.8553125458861803
2008--Mendelev-M-I--Cu--LAMMPS--ipr1,Cu,2.8947472938555037
2009--Bonny-G--Fe-Cu-Ni--LAMMPS--ipr1,Fe,2.855324619111137
2009--Bonny-G--Fe-Ni--LAMMPS--ipr1,Fe,2.855324619111137
2009--Mendelev-M-I--Al-Mg--LAMMPS--ipr1,Mg,3.5620455263120534
2009--Mendelev-M-I--Cu-Zr--LAMMPS--ipr1,Cu,2.8947490940480134
2009--Olsson-P-A-T--Fe--LAMMPS--ipr1,Fe,2.870000068889203
2009--Olsson-P-A-T--V--LAMMPS--ipr1,V,3.029959546709557
2009--Olsson-P-A-T--W--LAMMPS--ipr1,W,3.1599989343494603
2009--Wu-H-H--Cu-Ag--LAMMPS--ipr1,Ag,3.2387037982379514
2010--Fellinger-M-R--Nb--LAMMPS--ipr1,Nb,3.30789893314849
2010--Malerba-L--Fe--LAMMPS--ipr1,Fe,2.8552797308051083
2010--Mendelev-M-I--fictional-Al-1--LAMMPS--ipr1,Al,2.930726597673228
2010--Mendelev-M-I--fictional-Al-2--LAMMPS--ipr1,Al,2.9384245511264075
2011--Bonny-G--Fe-Ni-Cr--LAMMPS--ipr1,Cr,5.991264114660492
2011--Bonny-G--Fe-Ni-Cr--LAMMPS--ipr2,Cr,5.991264114660502
2011--Chiesa-S--Fe-33--LAMMPS--ipr1,Fe,2.866504592354199
2012--Mendelev-M-I--Cu--LAMMPS--ipr1,Cu,2.894140935457679
2012--Norman-G-E--Au--LAMMPS--ipr1,Au,5.724122971464037
2012--Proville-L--Fe--LAMMPS--ipr1,Fe,2.814778684822063
2012--Schopf-D--Al-Mn-Pd--LAMMPS--ipr1,Mn,2.788040138920127
2012--Schopf-D--Al-Mn-Pd--LAMMPS--ipr1,Pd,4.534342420934341
2012--Smirnova-D-E--U--LAMMPS--ipr1,U,3.5531907650728694
2013--Bonny-G--Fe-Cu-Ni-Mn--LAMMPS--ipr1,Fe,2.8553246189762227
2013--Bonny-G--Fe-Cu-Ni-Mn--LAMMPS--ipr1,Mn,2.6245936400852394
2013--Bonny-G--Fe-Ni-Cr--LAMMPS--ipr1,Fe,2.8599988352236223
2013--Bonny-G--Fe-W--LAMMPS--ipr1,Fe,2.855324619017342
2013--Bonny-G--Fe-W--LAMMPS--ipr1,W,3.1651999637855597
2013--Hale-L-M--Pd-Ag-H-Hybrid--LAMMPS--ipr1,Ag,3.238590034054168
2013--Hale-L-M--Pd-Ag-H-Morse--LAMMPS--ipr1,Ag,3.2385900353897035
2013--Marinica-M-C--W-2--LAMMPS--ipr1,W,3.1399998821882007
2013--Marinica-M-C--W-3--LAMMPS--ipr1,W,3.1873767040973173
2013--Marinica-M-C--W-4--LAMMPS--ipr1,W,3.1433900286299306
