potential_LAMMPS_id,composition,a,Epot (eV/atom)
1986--Foiles-S-M--Ag--LAMMPS--ipr1,Ag,2.892481016049592,-2.84967047998815
1986--Foiles-S-M--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Ag,2.892481016049592,-2.84967047998815
1986--Foiles-S-M--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Au,2.8863881734183074,-3.9289458965843
1986--Foiles-S-M--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Cu,2.556978684227044,-3.5369280766603497
1986--Foiles-S-M--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Ni,2.4892942196739045,-4.44760223971385
1986--Foiles-S-M--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Pd,2.752135134319172,-3.9069820638550006
1986--Foiles-S-M--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Pt,2.7690277784128736,-5.767001908351499
1986--Foiles-S-M--Au--LAMMPS--ipr1,Au,2.8863881734183074,-3.9289458965843
1986--Foiles-S-M--Cu--LAMMPS--ipr1,Cu,2.556978684227044,-3.5369280766603497
1986--Foiles-S-M--Ni--LAMMPS--ipr1,Ni,2.4892942196739045,-4.44760223971385
1986--Foiles-S-M--Pd--LAMMPS--ipr1,Pd,2.752135134319172,-3.9069820638550006
1986--Foiles-S-M--Pt--LAMMPS--ipr1,Pt,2.7690277784128736,-5.767001908351499
1987--Ackland-G-J--Au--LAMMPS--ipr1,Au,2.865460468835857,-3.78351800331705
1987--Ackland-G-J--Au--LAMMPS--ipr2,Au,2.8654604688649146,-3.78351800332085
1987--Ackland-G-J--Mo--LAMMPS--ipr1,Mo,3.036580634569215,-6.4017803741920005
1987--Ackland-G-J--Ni--LAMMPS--ipr1,Ni,2.489635808257475,-4.454828793892801
1989--Adams-J-B--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Au,2.886414641155902,-3.9289022511890987
1989--Adams-J-B--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Ni,2.4892474120298926,-4.4474625017569505
1989--Adams-J-B--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Pd,2.7519197292987414,-3.90685201918235
1989--Adams-J-B--Ag-Au-Cu-Ni-Pd-Pt--LAMMPS--ipr1,Pt,2.769113580073813,-5.766902165562501
1989--Adams-J-B--Au--LAMMPS--ipr1,Au,2.886414641155902,-3.9289022511890987
1989--Adams-J-B--Ni--LAMMPS--ipr1,Ni,2.4892474120298926,-4.4474625017569505
1989--Adams-J-B--Pd--LAMMPS--ipr1,Pd,2.7519197292987414,-3.90685201918235
1989--Adams-J-B--Pt--LAMMPS--ipr1,Pt,2.769113580073813,-5.766902165562501
1995--Angelo-J-E--Ni-Al-H--LAMMPS--ipr1,Al,2.810886910456753,-3.3480370249053495
1996--Farkas-D--Nb-Ti-Al--LAMMPS--ipr1,Al,2.741672898972411,-3.198533807830201
1996--Farkas-D--Nb-Ti-Al--LAMMPS--ipr1,Ti,2.9510005622301456,-4.85000007036035
1997--Ackland-G-J--Fe--LAMMPS--ipr1,Fe,2.602184560360185,-4.2618393626514
1997--Liu-X-Y--Al-Mg--LAMMPS--ipr1,Mg,3.195999997020989,-1.51000116222305
1998--Meyer-R--Fe--LAMMPS--ipr1,Fe,2.614058948936655,-4.2557223460430995
1999--Liu-X-Y--Al-Cu--LAMMPS--ipr1,Cu,2.5569789456971077,-3.53692808768355
1999--Mishin-Y--Al--LAMMPS--ipr1,Al,2.819112836793975,-3.332214486627849
1999--Mishin-Y--Ni--LAMMPS--ipr1,Ni,2.4831485318826587,-4.42956146234255
2000--Landa-A--Al-Pb--LAMMPS--ipr1,Pb,3.4712736234681767,-2.0300039202342006
2000--Sturgeon-J-B--Al--LAMMPS--ipr1,Al,2.8631330525299568,-3.38527533467155
2002--Mishin-Y--Ni-Al--LAMMPS--ipr1,Ni,2.4301538096281643,-4.446213701691649
2003--Han-S--V--LAMMPS--ipr1,V,2.7907055884543177,-5.142409024876
2003--Han-S--W--LAMMPS--ipr1,W,2.8487724146911337,-8.604190119128
2003--Hoyt-J-J--Cu-Pb--LAMMPS--ipr1,Cu,2.5570020643341165,-3.5369792373255495
2003--Hoyt-J-J--Cu-Pb--LAMMPS--ipr1,Pb,3.4719865288095737,-2.0299992097468005
2003--Li-Y-H--Ta--LAMMPS--ipr1,Ta,2.9726170466387414,-7.9515172240455
2003--Mendelev-M-I--Fe-2--LAMMPS--ipr1,Fe,2.6206406873419863,-4.0049270282549
2003--Mendelev-M-I--Fe-2--LAMMPS--ipr3,Fe,2.6206364962226156,-4.004927029533749
2003--Mendelev-M-I--Fe-5--LAMMPS--ipr1,Fe,2.5933391872241858,-4.026170216510901
2003--Zope-R-R--Al--LAMMPS--ipr1,Al,2.8357435985066135,-3.3384305630238003
2003--Zope-R-R--Ti-Al--LAMMPS--ipr1,Al,2.8357434526492207,-3.3384305738015
2003--Zope-R-R--Ti-Al--LAMMPS--ipr1,Ti,2.9527473402059448,-4.850011364030499
2004--Ackland-G-J--Fe-P--LAMMPS--ipr1,Fe,2.6054474327280133,-3.8968123148172493
2004--Mishin-Y--Ni-Al--LAMMPS--ipr1,Al,2.8357436439937302,-3.3384305622583006
2004--Mishin-Y--Ni-Al--LAMMPS--ipr2,Al,2.835743643997746,-3.3384305622586
2004--Zhou-X-W--Ag--LAMMPS--ipr1,Ag,2.883265721872103,-2.84905992972705
2004--Zhou-X-W--Ag--LAMMPS--ipr2,Ag,2.8832536707673615,-2.8490600653613507
2004--Zhou-X-W--Al--LAMMPS--ipr1,Al,2.8311943165824456,-3.5788447913421995
2004--Zhou-X-W--Al--LAMMPS--ipr2,Al,2.8311996176625542,-3.5788447020998486
2004--Zhou-X-W--Au--LAMMPS--ipr1,Au,2.8759704068313496,-3.92948365056775
2004--Zhou-X-W--Au--LAMMPS--ipr2,Au,2.875969159784112,-3.9294837025442493
2004--Zhou-X-W--Co--LAMMPS--ipr1,Co,2.5120170346401136,-4.410040426765949
2004--Zhou-X-W--Co--LAMMPS--ipr2,Co,2.512025027595267,-4.4100405036918
