E_coh_mean,E_coh_std,a_mean,a_std,b_mean,b_std,c_mean,c_std,composition,num_lammps,num_lammps_1_std,num_lammps_2_std,num_lammps_3_std,num_refine,num_refine_1_std,num_refine_2_std,num_refine_3_std,potential_id,prototype
1.48E-05,1.48E-05,3.253672499,0.000932397,3.253672499,0.000932397,3.253672499,0.000932397,H,5,5,5,5,5,5,5,5,2013--Hale-L-M--Pd-Ag-H-Morse,A1--Cu--fcc
0.001902211,0.001902211,3.890095391,0.00389059,3.890410299,0.004101316,3.89112865,0.004135265,Cu3Ta,5,0,0,0,5,0,0,0,2015--Purja-Pun-G-P--Cu-Ta,L1_2--AuCu3
1.14E-05,1.14E-05,2.914843109,0.000693895,5.048656361,0.001201862,4.759815442,0.001133124,W,5,5,5,5,5,5,5,5,2004--Zhou-X-W--W,A3--Mg--hcp
7.56E-06,7.56E-06,4.253835389,0.002487005,7.367859021,0.00430762,10.41974856,0.012182867,Cd,5,0,0,0,0,0,0,0,2013--Zhou-X-W--Zn-Cd-Hg-S-Se-Te,A7--alpha-As
0.008566274,0.008566274,5.453028024,0.023781128,5.428974312,0.019764889,5.463613968,0.028880188,AlMg,10,0,0,0,10,0,0,0,1998--Liu-X-Y--Al-Mg,B3--ZnS--cubic-zinc-blende
0.227850966,0.227850966,3.921912035,0.276937018,3.887897624,0.259032683,3.738657635,0.240718914,Al3Co,5,5,5,5,5,5,5,5,2015--Purja-Pun-G-P--Al-Co,L1_2--AuCu3
0.011956103,0.011956103,7.019168111,0.068900097,6.969427839,0.029266938,6.964997065,0.003681966,MoU2Xe,40,0,0,0,40,0,0,0,2013--Smirnova-D-E--U-Mo-Xe,L2_1--AlCu2Mn--heusler
1.02E-05,1.02E-05,3.639085123,0.001049687,3.639085123,0.001049687,3.639085123,0.001049687,Cu,5,5,5,5,5,5,5,5,2007--Mendelev-M-I--Cu-Zr,A1--Cu--fcc
3.20E-05,3.20E-05,3.282895597,0.001224729,3.282883885,0.002456028,3.282895035,0.001389123,AlTi,10,0,0,0,10,0,0,0,2003--Zope-R-R--Ti-Al,B2--CsCl
1.03E-05,1.03E-05,2.489017483,0.000485521,4.311103045,0.000999919,12.19364099,0.001413259,Ni,5,0,0,0,0,0,0,0,2009--Bonny-G--Fe-Cu-Ni,A7--alpha-As
0.015869039,0.015869039,5.442590183,0.040484541,5.445080478,0.020187254,5.382405307,0.041989065,AlMg,10,0,0,0,10,0,0,0,2009--Mendelev-M-I--Al-Mg,B3--ZnS--cubic-zinc-blende
0.028600899,0.028600899,4.519533473,0.077611466,4.491830267,0.060892087,4.461909122,0.074172804,Ni,5,0,0,0,5,0,0,0,2004--Zhou-X-W--Ni,A4--C--dc
